,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.874,0.012,0.853,0.896,0.0,0.0,14178.0,11676.0,1.0
post_test_posterior,0.956,0.007,0.943,0.969,0.0,0.0,13742.0,10639.0,1.0
difference_of_means,0.082,0.014,0.057,0.107,0.0,0.0,13637.0,10732.0,1.0
