,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.712,0.009,0.695,0.729,0.0,0.0,13950.0,10614.0,1.0
post_test_posterior,0.786,0.008,0.77,0.801,0.0,0.0,14222.0,11934.0,1.0
difference_of_means,0.074,0.012,0.051,0.097,0.0,0.0,14352.0,11411.0,1.0
