,participant_id,task_idx,task_status,results_responses,results_rt,results_ind_switch,results_indtask,results_trial_target
0,2,5,PRE_TEST,"2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,2,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,1,1,2,1,1,2,2,1,1,2,1,2,2,2","1274,1150,550,600,717,950,602,667,634,600,567,1368,1651,1052,1069,868,1617,717,2118,885,1302,600,618,567,800,517,450,518,600,735,752,667,1385,1535,550,517,934,1118,517,635,450,1101,533,1017,483,1251,599,951,684,666,917,483,533,807,1617,1035,467,535,534,1075,852,518,666,667,633,717,1252,817,518,1142,751,716,567,751,668,650,1260,1335,466,1118,582,451,383,1042,882,1050,1136,550,784,2226,1318,899,1103,800,734,1100,563,634,1066","1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1","1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1","9,9,8,9,4,8,4,8,9,3,2,2,4,6,4,1,8,9,2,2,8,1,6,2,2,8,2,1,6,9,7,3,6,3,4,9,2,6,7,2,7,8,8,6,6,2,6,2,3,4,6,2,1,6,7,8,7,9,2,2,8,4,1,2,3,6,7,9,2,8,9,7,3,8,6,7,7,9,9,4,6,8,7,3,6,7,9,4,9,3,8,8,1,3,6,7,6,8,8"
1,2,5,POST_TEST,"1,2,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1","1152,550,502,534,885,484,667,466,618,499,984,1409,784,784,818,634,533,549,774,683,751,1117,568,751,1470,718,517,551,450,768,650,1067,758,351,1167,885,567,584,1092,1084,715,750,1552,1302,1018,517,1034,518,550,2977,1268,1835,483,1468,999,919,2736,2652,585,542,1282,418,383,601,600,1335,833,1768,550,500,467,601,567,466,617,633,1000,484,684,773,833,667,1402,816,567,517,539,983,1450,568,919,1317,787,366,2753,1200,1101,651,986","1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1","0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1","1,6,3,7,1,1,3,1,4,2,1,1,9,3,8,8,9,7,3,7,6,4,7,4,8,7,4,1,3,6,1,9,1,8,2,6,8,3,1,7,8,2,4,4,3,3,4,3,1,9,8,7,9,6,7,8,8,9,9,9,2,3,7,8,7,8,6,4,6,2,1,7,6,1,1,2,8,6,7,8,6,3,2,4,1,8,2,4,2,3,9,4,1,3,7,3,3,4,3"
