,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.847,0.024,0.803,0.891,0.0,0.0,7230.0,5647.0,1.0,True
post_test_theta,0.869,0.023,0.824,0.909,0.0,0.0,7273.0,5813.0,1.0,True
difference_of_means,0.022,0.033,-0.041,0.082,0.0,0.0,7531.0,6247.0,1.0,True
