,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.04,0.013,0.017,0.066,0.0,0.0,4525.0,3900.0,1.0,True
post_test_theta,0.005,0.004,0.0,0.013,0.0,0.0,4125.0,2654.0,1.0,True
difference_of_means,-0.036,0.014,-0.062,-0.01,0.0,0.0,4586.0,4001.0,1.0,True
