,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.942,0.012,0.92,0.963,0.0,0.0,6702.0,5332.0,1.0,True
post_test_theta,0.967,0.009,0.951,0.983,0.0,0.0,6963.0,5244.0,1.0,True
difference_of_means,0.025,0.015,-0.002,0.053,0.0,0.0,7028.0,5497.0,1.0,True
