participant_id,task_status,HR-accuracy,FAR-accuracy,HR-rt
15,PRE_TEST,0.5,0.0,420.22222222222223
15,POST_TEST,0.5,0.0,430.55555555555554
51,PRE_TEST,0.4722222222222222,0.027777777777777776,572.1176470588235
51,POST_TEST,0.5,0.0,451.55555555555554
48,PRE_TEST,0.4444444444444444,0.05555555555555555,524.0625
48,POST_TEST,0.5,0.0,586.0555555555555
68,PRE_TEST,0.5,0.0,466.77777777777777
68,POST_TEST,0.4722222222222222,0.027777777777777776,477.05882352941177
70,PRE_TEST,0.5,0.0,494.3333333333333
70,POST_TEST,0.5,0.0,503.3888888888889
82,PRE_TEST,0.4444444444444444,0.05555555555555555,655.3125
82,POST_TEST,0.5,0.0,587.0555555555555
85,PRE_TEST,0.5,0.0,477.5
85,POST_TEST,0.5,0.0,454.3333333333333
84,PRE_TEST,0.5,0.0,540.8888888888889
84,POST_TEST,0.5,0.0,601.1666666666666
87,PRE_TEST,0.4722222222222222,0.027777777777777776,455.94117647058823
87,POST_TEST,0.5,0.0,483.27777777777777
90,PRE_TEST,0.4722222222222222,0.027777777777777776,636.4117647058823
90,POST_TEST,0.5,0.0,591.7222222222222
96,PRE_TEST,0.4722222222222222,0.027777777777777776,581.1764705882352
96,POST_TEST,0.5,0.0,540.1666666666666
116,PRE_TEST,0.4722222222222222,0.027777777777777776,483.88235294117646
116,POST_TEST,0.4722222222222222,0.027777777777777776,461.29411764705884
140,PRE_TEST,0.5,0.0,414.94444444444446
140,POST_TEST,0.4722222222222222,0.027777777777777776,470.29411764705884
158,PRE_TEST,0.5,0.0,542.5
158,POST_TEST,0.5,0.0,521.1111111111111
4,PRE_TEST,0.5,0.0,672.3333333333334
4,POST_TEST,0.5,0.0,685.3333333333334
2,PRE_TEST,0.4722222222222222,0.027777777777777776,525.2352941176471
2,POST_TEST,0.4722222222222222,0.027777777777777776,578.8235294117648
