HR-accuracy,FAR-accuracy,HR-rt
1.0,0.0,425.3888888888889
0.9722222222222222,0.027777777777777776,511.83660130718954
0.9444444444444444,0.05555555555555555,555.0590277777778
0.9722222222222222,0.027777777777777776,471.91830065359477
1.0,0.0,498.8611111111111
0.9444444444444444,0.05555555555555555,621.1840277777778
1.0,0.0,465.91666666666663
1.0,0.0,571.0277777777778
0.9722222222222222,0.027777777777777776,469.609477124183
0.9722222222222222,0.027777777777777776,614.0669934640523
0.9722222222222222,0.027777777777777776,560.6715686274509
0.9444444444444444,0.05555555555555555,472.5882352941177
0.9722222222222222,0.027777777777777776,442.6192810457517
1.0,0.0,531.8055555555555
