,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.517,0.033,0.456,0.58,0.0,0.0,6230.0,5606.0,1.0,True
post_test_theta,0.59,0.033,0.531,0.653,0.0,0.0,6268.0,5469.0,1.0,True
difference_of_means,0.073,0.046,-0.012,0.162,0.001,0.0,6797.0,5706.0,1.0,True
