,FA,PU,AE,RW,engagement_score
1,0.4444444444444442,-0.3333333333333335,0.22222222222222232,-0.3333333333333339,8.881784197001252e-16
3,-1.1111111111111114,-0.7777777777777772,0.22222222222222232,0.22222222222222232,-0.36111111111111116
5,0.5555555555555554,-0.22222222222222232,0.44444444444444464,0.8888888888888893,0.4166666666666665
7,0.6666666666666665,0.5555555555555554,0.0,0.4444444444444442,0.41666666666666696
9,-0.33333333333333326,0.11111111111111116,-0.33333333333333304,-0.4444444444444442,-0.25
11,-1.7777777777777783,0.22222222222222232,-0.3333333333333335,-0.22222222222222232,-0.5277777777777779
13,-0.22222222222222232,0.7777777777777781,-2.220446049250313e-16,1.1111111111111112,0.4166666666666663
15,-0.44444444444444464,0.666666666666667,0.5555555555555562,0.7777777777777772,0.3888888888888884
17,0.0,0.11111111111111116,-0.6666666666666663,-0.3333333333333335,-0.22222222222222232
19,0.3333333333333335,0.22222222222222143,0.5555555555555554,0.44444444444444464,0.3888888888888893
21,-0.7777777777777778,-0.22222222222222232,0.22222222222222254,0.22222222222222232,-0.13888888888888862
