,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.451,0.035,0.384,0.514,0.0,0.0,6836.0,4895.0,1.0,True
post_test_theta,0.466,0.035,0.404,0.535,0.0,0.0,6795.0,5675.0,1.0,True
difference_of_means,0.015,0.049,-0.075,0.106,0.001,0.001,6765.0,5758.0,1.0,True
