,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.896,0.022,0.855,0.935,0.0,0.0,7426.0,5261.0,1.0,True
post_test_theta,0.837,0.026,0.787,0.883,0.0,0.0,7692.0,6203.0,1.0,True
difference_of_means,-0.059,0.034,-0.126,0.002,0.0,0.0,7385.0,5503.0,1.0,True
