,0,1,2,3,4,5,6
94,229,zpdes,Temporal demand,mot-NASA-TLX,mot-tlx-3,3,9
95,229,zpdes,Performance,mot-NASA-TLX,mot-tlx-4,3,12
96,229,zpdes,Effort,mot-NASA-TLX,mot-tlx-5,3,9
97,229,zpdes,Frustration,mot-NASA-TLX,mot-tlx-6,3,8
98,229,zpdes,Intrinsic motivation,mot-SIMS,mot-sims-2,4,0
99,229,zpdes,Identified regulation,mot-SIMS,mot-sims-3,4,0
100,229,zpdes,External regulation,mot-SIMS,mot-sims-4,4,6
101,229,zpdes,Amotivation,mot-SIMS,mot-sims-5,4,5
102,229,zpdes,Intrinsic motivation,mot-SIMS,mot-sims-6,4,1
103,229,zpdes,Identified regulation,mot-SIMS,mot-sims-7,4,1
104,229,zpdes,External regulation,mot-SIMS,mot-sims-8,4,5
105,229,zpdes,Amotivation,mot-SIMS,mot-sims-9,4,4
106,229,zpdes,Intrinsic motivation,mot-SIMS,mot-sims-11,4,0
107,229,zpdes,Identified regulation,mot-SIMS,mot-sims-12,4,0
108,229,zpdes,External regulation,mot-SIMS,mot-sims-13,4,6
109,229,zpdes,Amotivation,mot-SIMS,mot-sims-14,4,2
110,229,zpdes,Intrinsic motivation,mot-SIMS,mot-sims-15,4,0
111,229,zpdes,Identified regulation,mot-SIMS,mot-sims-16,4,1
112,229,zpdes,External regulation,mot-SIMS,mot-sims-17,4,5
113,229,zpdes,Amotivation,mot-SIMS,mot-sims-18,4,2
114,229,zpdes,Competence,mot-TENS,mot-tens-1,4,4
115,229,zpdes,Competence,mot-TENS,mot-tens-2,4,4
116,229,zpdes,Competence,mot-TENS,mot-tens-3,4,2
117,229,zpdes,Competence,mot-TENS,mot-tens-4,4,2
118,229,zpdes,Competence,mot-TENS,mot-tens-5,4,2
119,229,zpdes,Autonomy,mot-TENS,mot-tens-6,4,2
120,229,zpdes,Autonomy,mot-TENS,mot-tens-7,4,1
121,229,zpdes,Autonomy,mot-TENS,mot-tens-8,4,1
122,229,zpdes,Autonomy,mot-TENS,mot-tens-9,4,3
123,229,zpdes,Autonomy,mot-TENS,mot-tens-10,4,1
124,229,zpdes,Mental Demand,mot-NASA-TLX,mot-tlx-1,4,15
125,229,zpdes,Physical demand,mot-NASA-TLX,mot-tlx-2,4,7
126,229,zpdes,Temporal demand,mot-NASA-TLX,mot-tlx-3,4,12
127,229,zpdes,Performance,mot-NASA-TLX,mot-tlx-4,4,7
128,229,zpdes,Effort,mot-NASA-TLX,mot-tlx-5,4,13
129,229,zpdes,Frustration,mot-NASA-TLX,mot-tlx-6,4,12
130,229,zpdes,FA-S.1,mot-UES,mot-UES-1,4,0
131,229,zpdes,FA-S.2,mot-UES,mot-UES-2,4,1
132,229,zpdes,FA-S.3,mot-UES,mot-UES-3,4,1
133,229,zpdes,PU-S.1,mot-UES,mot-UES-4,4,1
134,229,zpdes,PU-S.2,mot-UES,mot-UES-5,4,0
135,229,zpdes,PU-S.3,mot-UES,mot-UES-6,4,2
136,229,zpdes,AE-S.1,mot-UES,mot-UES-7,4,1
137,229,zpdes,AE-S.2,mot-UES,mot-UES-8,4,1
138,229,zpdes,AE-S.3,mot-UES,mot-UES-9,4,2
139,229,zpdes,RW-S.1,mot-UES,mot-UES-10,4,3
140,229,zpdes,RW-S.2,mot-UES,mot-UES-11,4,1
141,229,zpdes,RW-S.3,mot-UES,mot-UES-12,4,3
142,229,zpdes,Intrinsic motivation,mot-SIMS,mot-sims-2,5,0
143,229,zpdes,Identified regulation,mot-SIMS,mot-sims-3,5,0
144,229,zpdes,External regulation,mot-SIMS,mot-sims-4,5,5
145,229,zpdes,Amotivation,mot-SIMS,mot-sims-5,5,4
146,229,zpdes,Intrinsic motivation,mot-SIMS,mot-sims-6,5,4
147,229,zpdes,Identified regulation,mot-SIMS,mot-sims-7,5,2
148,229,zpdes,External regulation,mot-SIMS,mot-sims-8,5,5
149,229,zpdes,Amotivation,mot-SIMS,mot-sims-9,5,1
150,229,zpdes,Intrinsic motivation,mot-SIMS,mot-sims-11,5,1
151,229,zpdes,Identified regulation,mot-SIMS,mot-sims-12,5,1
152,229,zpdes,External regulation,mot-SIMS,mot-sims-13,5,5
153,229,zpdes,Amotivation,mot-SIMS,mot-sims-14,5,1
154,229,zpdes,Intrinsic motivation,mot-SIMS,mot-sims-15,5,3
155,229,zpdes,Identified regulation,mot-SIMS,mot-sims-16,5,2
156,229,zpdes,External regulation,mot-SIMS,mot-sims-17,5,5
157,229,zpdes,Amotivation,mot-SIMS,mot-sims-18,5,3
158,229,zpdes,Competence,mot-TENS,mot-tens-1,5,4
159,229,zpdes,Competence,mot-TENS,mot-tens-2,5,4
160,229,zpdes,Competence,mot-TENS,mot-tens-3,5,2
161,229,zpdes,Competence,mot-TENS,mot-tens-4,5,2
162,229,zpdes,Competence,mot-TENS,mot-tens-5,5,2
163,229,zpdes,Autonomy,mot-TENS,mot-tens-6,5,1
164,229,zpdes,Autonomy,mot-TENS,mot-tens-7,5,1
165,229,zpdes,Autonomy,mot-TENS,mot-tens-8,5,3
166,229,zpdes,Autonomy,mot-TENS,mot-tens-9,5,1
167,229,zpdes,Autonomy,mot-TENS,mot-tens-10,5,1
168,229,zpdes,Mental Demand,mot-NASA-TLX,mot-tlx-1,5,14
169,229,zpdes,Physical demand,mot-NASA-TLX,mot-tlx-2,5,7
170,229,zpdes,Temporal demand,mot-NASA-TLX,mot-tlx-3,5,7
171,229,zpdes,Performance,mot-NASA-TLX,mot-tlx-4,5,3
172,229,zpdes,Effort,mot-NASA-TLX,mot-tlx-5,5,6
173,229,zpdes,Frustration,mot-NASA-TLX,mot-tlx-6,5,7
174,229,zpdes,FA-S.1,mot-UES,mot-UES-1,5,1
175,229,zpdes,FA-S.2,mot-UES,mot-UES-2,5,1
176,229,zpdes,FA-S.3,mot-UES,mot-UES-3,5,2
177,229,zpdes,PU-S.1,mot-UES,mot-UES-4,5,1
178,229,zpdes,PU-S.2,mot-UES,mot-UES-5,5,0
179,229,zpdes,PU-S.3,mot-UES,mot-UES-6,5,2
180,229,zpdes,AE-S.1,mot-UES,mot-UES-7,5,1
181,229,zpdes,AE-S.2,mot-UES,mot-UES-8,5,3
182,229,zpdes,AE-S.3,mot-UES,mot-UES-9,5,3
183,229,zpdes,RW-S.1,mot-UES,mot-UES-10,5,3
184,229,zpdes,RW-S.2,mot-UES,mot-UES-11,5,1
185,229,zpdes,RW-S.3,mot-UES,mot-UES-12,5,1
186,229,zpdes,Mental Demand,mot-NASA-TLX,mot-tlx-1,6,13
187,229,zpdes,Physical demand,mot-NASA-TLX,mot-tlx-2,6,7
188,229,zpdes,Temporal demand,mot-NASA-TLX,mot-tlx-3,6,13
189,229,zpdes,Performance,mot-NASA-TLX,mot-tlx-4,6,6
190,229,zpdes,Effort,mot-NASA-TLX,mot-tlx-5,6,14
191,229,zpdes,Frustration,mot-NASA-TLX,mot-tlx-6,6,8
192,229,zpdes,Mental Demand,mot-NASA-TLX,mot-tlx-1,7,16
193,229,zpdes,Physical demand,mot-NASA-TLX,mot-tlx-2,7,5
194,229,zpdes,Temporal demand,mot-NASA-TLX,mot-tlx-3,7,16
195,229,zpdes,Performance,mot-NASA-TLX,mot-tlx-4,7,7
196,229,zpdes,Effort,mot-NASA-TLX,mot-tlx-5,7,14
197,229,zpdes,Frustration,mot-NASA-TLX,mot-tlx-6,7,13
198,229,zpdes,FA-S.1,mot-UES,mot-UES-1,7,3
199,229,zpdes,FA-S.2,mot-UES,mot-UES-2,7,1
200,229,zpdes,FA-S.3,mot-UES,mot-UES-3,7,1
201,229,zpdes,PU-S.1,mot-UES,mot-UES-4,7,1
202,229,zpdes,PU-S.2,mot-UES,mot-UES-5,7,1
203,229,zpdes,PU-S.3,mot-UES,mot-UES-6,7,3
204,229,zpdes,AE-S.1,mot-UES,mot-UES-7,7,1
205,229,zpdes,AE-S.2,mot-UES,mot-UES-8,7,3
206,229,zpdes,AE-S.3,mot-UES,mot-UES-9,7,2
207,229,zpdes,RW-S.1,mot-UES,mot-UES-10,7,3
208,229,zpdes,RW-S.2,mot-UES,mot-UES-11,7,2
209,229,zpdes,RW-S.3,mot-UES,mot-UES-12,7,2
210,229,zpdes,Intrinsic motivation,mot-SIMS,mot-sims-2,8,0
211,229,zpdes,Identified regulation,mot-SIMS,mot-sims-3,8,0
212,229,zpdes,External regulation,mot-SIMS,mot-sims-4,8,5
213,229,zpdes,Amotivation,mot-SIMS,mot-sims-5,8,4
214,229,zpdes,Intrinsic motivation,mot-SIMS,mot-sims-6,8,1
215,229,zpdes,Identified regulation,mot-SIMS,mot-sims-7,8,1
216,229,zpdes,External regulation,mot-SIMS,mot-sims-8,8,5
217,229,zpdes,Amotivation,mot-SIMS,mot-sims-9,8,1
218,229,zpdes,Intrinsic motivation,mot-SIMS,mot-sims-11,8,1
219,229,zpdes,Identified regulation,mot-SIMS,mot-sims-12,8,1
220,229,zpdes,External regulation,mot-SIMS,mot-sims-13,8,5
221,229,zpdes,Amotivation,mot-SIMS,mot-sims-14,8,1
222,229,zpdes,Intrinsic motivation,mot-SIMS,mot-sims-15,8,1
223,229,zpdes,Identified regulation,mot-SIMS,mot-sims-16,8,1
224,229,zpdes,External regulation,mot-SIMS,mot-sims-17,8,4
225,229,zpdes,Amotivation,mot-SIMS,mot-sims-18,8,1
226,229,zpdes,Competence,mot-TENS,mot-tens-1,8,4
227,229,zpdes,Competence,mot-TENS,mot-tens-2,8,4
228,229,zpdes,Competence,mot-TENS,mot-tens-3,8,2
229,229,zpdes,Competence,mot-TENS,mot-tens-4,8,2
230,229,zpdes,Competence,mot-TENS,mot-tens-5,8,2
231,229,zpdes,Autonomy,mot-TENS,mot-tens-6,8,3
232,229,zpdes,Autonomy,mot-TENS,mot-tens-7,8,2
233,229,zpdes,Autonomy,mot-TENS,mot-tens-8,8,3
