participant_id,task_status,1-accuracy,4-accuracy,8-accuracy,1-rt,4-rt,8-rt
15,PRE_TEST,0.9333333333333333,0.6133333333333333,0.46666666666666673,4193.533333333334,4079.0666666666666,4260.133333333333
15,POST_TEST,0.9466666666666668,0.6933333333333334,0.52,4291.4,4404.933333333333,4648.466666666666
51,PRE_TEST,0.9866666666666667,0.7466666666666667,0.5599999999999999,4228.8,5512.266666666666,5153.666666666667
51,POST_TEST,0.9866666666666667,0.8666666666666668,0.6,5414.4,5121.733333333334,6105.8
48,PRE_TEST,0.7866666666666667,0.5866666666666668,0.4533333333333333,4351.266666666666,3818.133333333333,3885.5333333333333
48,POST_TEST,0.7466666666666667,0.5733333333333334,0.4666666666666667,4910.133333333333,5329.266666666666,5653.2
68,PRE_TEST,0.9333333333333333,0.6,0.5866666666666666,4159.333333333333,4469.333333333333,4595.733333333334
68,POST_TEST,0.9866666666666667,0.6933333333333334,0.56,3399.4666666666667,3795.4666666666667,4430.066666666667
70,PRE_TEST,0.9466666666666668,0.6266666666666666,0.5599999999999999,4336.666666666667,4241.933333333333,4018.866666666667
70,POST_TEST,0.92,0.7466666666666667,0.6666666666666666,3670.9333333333334,3664.266666666667,3697.9333333333334
82,PRE_TEST,0.8133333333333336,0.5999999999999999,0.4666666666666667,7266.466666666666,6859.733333333334,7303.933333333333
82,POST_TEST,0.84,0.6133333333333333,0.5466666666666666,8017.866666666667,8079.933333333333,7921.333333333333
85,PRE_TEST,0.9866666666666667,0.7733333333333334,0.5733333333333334,5392.466666666666,5643.133333333333,4970.333333333333
85,POST_TEST,0.9866666666666667,0.8000000000000002,0.6133333333333332,5035.8,4759.2,4866.133333333333
84,PRE_TEST,0.8400000000000002,0.6133333333333333,0.5866666666666664,4406.066666666667,4167.266666666666,4180.0
84,POST_TEST,0.52,0.5333333333333333,0.5333333333333331,6249.666666666667,7227.8,7334.533333333334
87,PRE_TEST,1.0,0.7733333333333335,0.5333333333333333,4130.333333333333,3743.3333333333335,3806.6666666666665
87,POST_TEST,0.9866666666666667,0.7466666666666667,0.6133333333333334,4207.666666666667,4026.266666666667,3671.2
90,PRE_TEST,0.9333333333333333,0.8266666666666667,0.7866666666666667,3714.8,3697.8,3365.0
90,POST_TEST,0.9600000000000002,0.8666666666666668,0.7333333333333333,3765.733333333333,3798.733333333333,3827.3333333333335
96,PRE_TEST,0.9733333333333334,0.8000000000000002,0.6,4190.066666666667,3906.2,4288.866666666667
96,POST_TEST,0.9733333333333333,0.7733333333333333,0.6133333333333333,4403.866666666667,3796.8,3754.6
116,PRE_TEST,0.88,0.64,0.4933333333333333,3209.5333333333333,3048.733333333333,3439.5333333333333
116,POST_TEST,0.9733333333333334,0.6133333333333333,0.5199999999999999,3449.733333333333,3044.6666666666665,3438.8
140,PRE_TEST,0.9733333333333333,0.8533333333333335,0.56,3485.5333333333333,4120.066666666667,4571.266666666666
140,POST_TEST,0.9600000000000001,0.8533333333333334,0.68,5186.066666666667,4665.066666666667,4509.533333333334
158,PRE_TEST,0.9866666666666667,0.8,0.6133333333333334,3808.866666666667,3825.5333333333333,4205.733333333334
158,POST_TEST,0.9866666666666667,0.6933333333333334,0.5599999999999999,4261.133333333333,4451.533333333334,5072.266666666666
