,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_pre_test,2.279,0.002,2.275,2.283,0.0,0.0,35860.0,23073.0,1.0
mu_post_test,2.278,0.002,2.274,2.282,0.0,0.0,39688.0,22639.0,1.0
sigma,0.009,0.001,0.007,0.011,0.0,0.0,33351.0,21609.0,1.0
difference_of_means,-0.001,0.003,-0.007,0.004,0.0,0.0,36866.0,21930.0,1.0
