,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
mu_pre_test,2.278,0.002,2.274,2.282,0.0,0.0,37188.0,24029.0,1.0,True
mu_post_test,2.278,0.002,2.274,2.282,0.0,0.0,37064.0,22889.0,1.0,True
sigma,0.01,0.001,0.008,0.012,0.0,0.0,34329.0,20815.0,1.0,True
difference_of_means,-0.0,0.003,-0.006,0.006,0.0,0.0,37617.0,23913.0,1.0,True
