,0,1,2,3,4
HR-rt-gonogo,0.18719917267844713,0.1493936827783556,0.04503483045693128,0.09377634015038952,0.44101611183417777
1-accuracy-moteval,-0.21736804443518243,0.10717141528759234,-0.1228815198160722,0.16890655433102358,-0.03171237506832239
4-accuracy-moteval,-0.20028619752040083,0.18616281805122645,-0.15114304566490924,0.1494030673891065,0.2533636477544222
8-accuracy-moteval,-0.1345572679571179,0.11225987198692526,-0.16049269168474717,0.31469145932084097,0.454210052930835
parity-switching-cost-rt-taskswitch,0.12630203500345133,-0.10469524012338602,-0.4814041610721043,0.14275644441873045,0.040576092922910485
relative-switching-cost-rt-taskswitch,-0.01770872120754332,0.1591803860862982,0.5158450015795807,-0.13100668072914418,-0.04277034430440044
accuracy_near-loadblindness,-0.2331836917461954,-0.15360620900823407,-0.17417085145520705,0.14300432097872884,-0.02229807166488416
accuracy_far-loadblindness,-0.21790370787076893,-0.11965814078672374,-0.1881229462339867,0.22287981500462675,0.059304993866532325
2-hit-miss-memorability,-0.20338684961046913,-0.36671904217543255,0.020758906401772623,0.08354135339719163,-0.005868460717311044
3-hit-miss-memorability,-0.1728175511360135,-0.3813272448940444,0.16957304904549675,0.005666735318545859,0.17430989246604414
4-hit-miss-memorability,-0.23010165808264954,-0.3529686688157878,0.13894352943295524,-0.049734529888572826,0.0511750596457709
5-hit-miss-memorability,-0.19630164302568656,-0.39585615995780393,0.05771524626994763,-0.046917387119207885,0.09237425007300423
100-hit-miss-memorability,-0.07705422279219468,-0.2740770011221635,-0.029553774003468217,-0.3575236855321704,0.17255619293798266
5-accuracy-enumeration,-0.2941114685865094,0.10657024107916663,-0.0931408959314952,0.08574291663815743,-0.2597264903464487
6-accuracy-enumeration,-0.28702389754816726,0.11900324135764484,-0.06858702744110308,-0.1441716800722511,-0.31915402765309214
7-accuracy-enumeration,-0.28111537710110573,0.11304606625040513,-0.20517426010623396,-0.2393473259608773,-0.21899554557097353
8-accuracy-enumeration,-0.11775401830118222,0.11906566908988711,-0.3204610887283124,-0.4734063823997412,0.1106949431368999
9-accuracy-enumeration,-0.02494293664370949,0.07237841916431392,-0.1512544049219884,-0.5124236536900928,0.3671108249934033
4-accuracy-workingmemory,-0.2270149281548471,0.08083003506802201,0.2851610397154432,0.038815334792413045,0.18570613795354624
5-accuracy-workingmemory,-0.2849168314840269,0.14640721715328636,0.07378374153860466,0.08724530245030591,-0.06301640452785683
6-accuracy-workingmemory,-0.24878499264351425,0.20177293043490724,0.12538254191289047,0.06352065150942436,0.13861202500536057
7-accuracy-workingmemory,-0.24610772706475945,0.16156216439562623,0.18196787539840587,-0.09349215674417116,0.17872215389282142
8-accuracy-workingmemory,-0.23481842073340903,0.23648915838765106,0.03686928115602442,0.01172456337910207,0.03536426398417661
