,0,1,2,3,4
HR-rt-gonogo,0.18829471505731724,0.07301724500546225,0.03135113614187544,-0.010611815544826922,0.4272743357673188
1-accuracy-moteval,-0.21619651606319387,0.04604666886406364,0.02991283776271857,0.16431047321656395,-0.09693471867191296
4-accuracy-moteval,-0.20573906603194875,0.06925649738795808,0.01820773327780947,0.11239590491429094,0.17131293728171887
8-accuracy-moteval,-0.1308958049542434,0.049355854855314144,0.052847092579318855,0.17102646473958333,0.3963447054714852
parity-switching-cost-rt-taskswitch,0.13308744748244417,-0.010896195827451955,-0.10136488961908863,0.0676596679652456,-0.012281617872622146
relative-switching-cost-rt-taskswitch,-0.010221093284103385,0.04230420985261067,0.1166061044765239,-0.07362463559519845,0.0915420575358467
accuracy_near-loadblindness,-0.23882510286477668,-0.06574034562251903,-0.03695937939872691,0.07288444260014627,0.07806567739633524
accuracy_far-loadblindness,-0.2100816466852617,-0.034726577409929,-0.01780636850138385,0.10308391690428034,0.1426262975143942
2-hit-miss-memorability,-0.20644782733072947,-0.15027666904079673,0.028915804079297204,0.05626478728119809,0.00969389122709367
3-hit-miss-memorability,-0.18656713415699308,-0.1623267813826072,0.04806983046309845,0.00971706652924089,0.1296529920618758
4-hit-miss-memorability,-0.23477478437103855,-0.15311620578952082,0.020136017298292553,-0.03354885188666271,0.04944901185931494
5-hit-miss-memorability,-0.2017256590516816,-0.16174665374343616,-0.018806449092907775,-0.06101469906447059,0.11303414041992785
100-hit-miss-memorability,-0.08088330563391526,-0.1150938328555519,-0.12210463595199539,-0.2693876186649088,0.03380007200241173
5-accuracy-enumeration,-0.2910735859086612,0.029512439226923214,0.011134967982184146,0.09976251315270969,-0.21036100961562604
6-accuracy-enumeration,-0.2816907577390787,0.027651275826692263,-0.04832404999234917,-0.08067900061830519,-0.26882383001218996
7-accuracy-enumeration,-0.2669000447622287,0.03557428885809451,-0.13186776364279001,-0.18342346063022696,-0.20903689210800622
8-accuracy-enumeration,-0.10955497387657231,0.05603807671062437,-0.263837566488763,-0.4030068563294652,0.0200802027655632
9-accuracy-enumeration,-0.01439999900641393,0.03877060449975027,-0.2246094898205319,-0.4755338952130078,0.21227141361860732
4-accuracy-workingmemory,-0.22579245410105736,0.016091171903139828,0.07730741614016516,0.01654206151574958,0.14965742098560803
5-accuracy-workingmemory,-0.28419069122555046,0.03872196898217765,0.04404246517355165,0.06593586450974301,-0.02105776658463806
6-accuracy-workingmemory,-0.24043050661792592,0.07133762585882328,0.06479886926546553,0.053189407835509,0.08156193378661356
7-accuracy-workingmemory,-0.24846745995521857,0.047732824126901975,0.04600822051254437,-0.05679547843736994,0.08621201624076077
8-accuracy-workingmemory,-0.22031495402821913,0.09642136896912826,0.019107722522152273,-0.019455420999570545,0.06502693169748555
