,participant_id,task_status,HR-accuracy-gonogo,FAR-accuracy-gonogo,1-accuracy-moteval,4-accuracy-moteval,8-accuracy-moteval,parity-switch-accuracy-taskswitch,parity-unswitch-accuracy-taskswitch,relative-switch-accuracy-taskswitch,relative-unswitch-accuracy-taskswitch,accuracy_near-loadblindness,accuracy_far-loadblindness,2-hit-miss-memorability,3-hit-miss-memorability,4-hit-miss-memorability,5-hit-miss-memorability,100-hit-miss-memorability,5-accuracy-enumeration,6-accuracy-enumeration,7-accuracy-enumeration,8-accuracy-enumeration,9-accuracy-enumeration,4-accuracy-workingmemory,5-accuracy-workingmemory,6-accuracy-workingmemory,7-accuracy-workingmemory,8-accuracy-workingmemory
15,84,POST_TEST,0.5,0.0,0.52,0.5333333333333333,0.5333333333333331,1.0,1.0,1.0,1.0,0.9,0.65,0.46875,0.46875,0.5,0.46875,0.21875,0.5,0.5,0.35,0.35,0.1,0.9166666666666666,0.75,0.3333333333333333,0.0833333333333333,0.0
16,87,PRE_TEST,0.4722222222222222,0.0277777777777777,1.0,0.7733333333333335,0.5333333333333333,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.85,0.7,0.34375,0.40625,0.5,0.4375,0.34375,0.95,0.9,0.95,0.55,0.45,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
17,87,POST_TEST,0.5,0.0,0.9866666666666668,0.7466666666666667,0.6133333333333334,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9,0.7,0.4375,0.40625,0.40625,0.46875,0.25,0.95,0.95,0.8,0.6,0.35,1.0,1.0,1.0,0.5833333333333334,0.4166666666666667
18,90,PRE_TEST,0.4722222222222222,0.0277777777777777,0.9333333333333332,0.8266666666666667,0.7866666666666667,1.0,1.0,1.0,1.0,0.9,0.7,0.3125,0.28125,0.25,0.3125,0.125,0.8,0.7,0.6,0.4,0.35,0.9166666666666666,0.9166666666666666,1.0,0.5833333333333334,0.4166666666666667
19,90,POST_TEST,0.5,0.0,0.9600000000000002,0.8666666666666668,0.7333333333333333,1.0,1.0,1.0,1.0,0.9,1.0,0.3125,0.40625,0.40625,0.375,0.125,1.0,0.95,0.9,0.6,0.25,1.0,1.0,0.6666666666666666,0.5,0.5
20,96,PRE_TEST,0.4722222222222222,0.0277777777777777,0.9733333333333334,0.8000000000000002,0.6,1.0,1.0,1.0,1.0,0.7,0.65,0.3125,0.375,0.34375,0.34375,0.3125,0.75,0.55,0.35,0.45,0.3,,,,,
21,96,POST_TEST,0.5,0.0,0.9733333333333332,0.7733333333333333,0.6133333333333333,1.0,1.0,1.0,1.0,0.8,0.4,0.4375,0.46875,0.46875,0.46875,0.46875,0.9,0.7,0.55,0.55,0.35,,,,,
22,116,PRE_TEST,0.4722222222222222,0.0277777777777777,0.88,0.64,0.4933333333333333,1.0,1.0,1.0,1.0,1.0,0.85,0.40625,0.375,0.40625,0.46875,0.34375,0.95,0.7,0.85,0.6,0.25,1.0,0.9166666666666666,0.25,0.0833333333333333,0.0
23,116,POST_TEST,0.4722222222222222,0.0277777777777777,0.9733333333333334,0.6133333333333333,0.5199999999999999,1.0,1.0,1.0,1.0,0.9,0.8,0.375,0.375,0.4375,0.4375,0.28125,0.95,1.0,0.75,0.7,0.45,1.0,0.9166666666666666,0.0833333333333333,0.0,0.1666666666666666
24,140,PRE_TEST,0.5,0.0,0.9733333333333332,0.8533333333333335,0.56,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8,0.6,0.375,0.5,0.5,0.46875,0.15625,0.9,0.9,0.8,0.6,0.35,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.4166666666666667,0.4166666666666667
25,140,POST_TEST,0.4722222222222222,0.0277777777777777,0.96,0.8533333333333334,0.68,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6,0.6,0.46875,0.4375,0.5,0.5,0.28125,0.95,0.9,0.8,0.75,0.5,1.0,1.0,0.6666666666666666,0.25,0.0833333333333333
26,158,PRE_TEST,0.5,0.0,0.9866666666666668,0.8,0.6133333333333334,1.0,1.0,1.0,1.0,0.55,0.85,0.40625,0.34375,0.3125,0.34375,0.09375,0.75,0.4,0.15,0.1,0.0,0.9166666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666
27,158,POST_TEST,0.5,0.0,0.9866666666666668,0.6933333333333334,0.5599999999999999,1.0,1.0,1.0,1.0,0.8,0.75,0.375,0.40625,0.4375,0.4375,0.0,0.8,0.4,0.2,0.0,0.05,1.0,0.8333333333333334,0.5833333333333334,0.0833333333333333,0.1666666666666666
28,4,PRE_TEST,0.5,0.0,,,,1.0,1.0,1.0,1.0,0.85,0.75,0.34375,0.46875,0.4375,0.5,0.15625,0.6,0.3,0.35,0.7,0.25,0.75,0.6666666666666666,0.25,0.0,0.0
29,4,POST_TEST,0.5,0.0,,,,0.9629629629629628,0.9629629629629628,0.9629629629629628,0.9629629629629628,0.75,0.9,0.34375,0.46875,0.4375,0.5,0.15625,0.65,0.35,0.45,0.35,0.35,1.0,0.6666666666666666,0.3333333333333333,0.1666666666666666,0.0
30,2,PRE_TEST,0.4722222222222222,0.0277777777777777,,,,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.35,0.75,,,,,,0.9,0.9,0.7,0.4,0.2,0.75,0.75,0.5833333333333334,0.25,0.25
31,2,POST_TEST,0.4722222222222222,0.0277777777777777,,,,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.7,0.75,0.09375,0.21875,0.1875,0.1875,0.125,1.0,0.75,0.7,0.45,0.0,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.25,0.25
32,97,PRE_TEST,,,,,,0.96,0.96,0.96,0.96,,,0.34375,0.375,0.375,0.40625,0.1875,0.45,0.15,0.1,0.35,0.2,0.8333333333333334,0.75,0.1666666666666666,0.0833333333333333,0.0
33,97,POST_TEST,,,,,,1.0,1.0,1.0,1.0,,,0.25,0.375,0.3125,0.375,0.40625,0.2,0.1,0.15,0.35,0.25,0.75,0.5,0.25,0.0,0.0
