,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
mu_pre_test,2.196,0.005,2.187,2.205,0.0,0.0,37805.0,22198.0,1.0,True
mu_post_test,2.194,0.005,2.185,2.203,0.0,0.0,38223.0,23421.0,1.0,True
sigma,0.023,0.003,0.018,0.027,0.0,0.0,32557.0,20864.0,1.0,True
difference_of_means,-0.002,0.007,-0.015,0.011,0.0,0.0,38717.0,22893.0,1.0,True
