,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.459,0.022,0.42,0.501,0.0,0.0,15360.0,11923.0,1.0
post_test_posterior,0.609,0.021,0.57,0.649,0.0,0.0,14930.0,11289.0,1.0
difference_of_means,0.15,0.03,0.095,0.209,0.0,0.0,14926.0,11586.0,1.0
