,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.561,0.039,0.489,0.636,0.0,0.0,14493.0,11653.0,1.0
post_test_posterior,0.527,0.041,0.45,0.604,0.0,0.0,14257.0,11309.0,1.0
difference_of_means,-0.035,0.057,-0.139,0.074,0.0,0.0,14246.0,11253.0,1.0
