,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.735,0.035,0.669,0.798,0.0,0.0,14242.0,11278.0,1.0
post_test_posterior,0.748,0.033,0.685,0.81,0.0,0.0,14217.0,11453.0,1.0
difference_of_means,0.014,0.048,-0.077,0.104,0.0,0.0,14599.0,11226.0,1.0
