,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.751,0.016,0.722,0.78,0.0,0.0,14027.0,10651.0,1.0
post_test_posterior,0.747,0.015,0.718,0.776,0.0,0.0,14238.0,11501.0,1.0
difference_of_means,-0.004,0.022,-0.046,0.036,0.0,0.0,14095.0,11047.0,1.0
