participant_id,task_status,condition,4-accuracy,5-accuracy,6-accuracy,7-accuracy,8-accuracy
228,PRE_TEST,zpdes,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.0,0.0
228,POST_TEST,zpdes,0.9166666666666666,0.75,0.5833333333333334,0.3333333333333333,0.25
231,PRE_TEST,baseline,1.0,0.9166666666666666,0.5,0.5833333333333334,0.08333333333333333
231,POST_TEST,baseline,1.0,0.8333333333333334,0.8333333333333334,0.4166666666666667,0.4166666666666667
233,PRE_TEST,zpdes,0.8333333333333334,0.75,0.3333333333333333,0.3333333333333333,0.08333333333333333
233,POST_TEST,zpdes,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.3333333333333333,0.3333333333333333
246,PRE_TEST,baseline,1.0,0.75,0.4166666666666667,0.4166666666666667,0.16666666666666666
246,POST_TEST,baseline,1.0,1.0,0.5,0.4166666666666667,0.16666666666666666
247,PRE_TEST,zpdes,0.6666666666666666,0.5833333333333334,0.5,0.3333333333333333,0.5
247,POST_TEST,zpdes,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666
251,PRE_TEST,baseline,1.0,0.8333333333333334,0.6666666666666666,0.5,0.0
251,POST_TEST,baseline,1.0,0.8333333333333334,0.6666666666666666,0.5,0.5
254,PRE_TEST,baseline,0.9166666666666666,0.75,0.3333333333333333,0.08333333333333333,0.0
254,POST_TEST,baseline,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.0
257,PRE_TEST,baseline,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.4166666666666667
257,POST_TEST,baseline,1.0,1.0,0.9166666666666666,0.8333333333333334,0.75
260,PRE_TEST,baseline,0.9166666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0
260,POST_TEST,baseline,0.75,0.5,0.75,0.25,0.0
261,PRE_TEST,zpdes,0.9166666666666666,1.0,0.75,0.5,0.25
261,POST_TEST,zpdes,0.8333333333333334,0.6666666666666666,0.5,0.3333333333333333,0.4166666666666667
263,PRE_TEST,baseline,0.75,0.4166666666666667,0.3333333333333333,0.0,0.0
263,POST_TEST,baseline,0.8333333333333334,0.75,0.3333333333333333,0.08333333333333333,0.0
265,PRE_TEST,zpdes,0.8333333333333334,0.5,0.16666666666666666,0.16666666666666666,0.08333333333333333
265,POST_TEST,zpdes,0.75,0.3333333333333333,0.25,0.0,0.0
267,PRE_TEST,baseline,1.0,1.0,0.8333333333333334,0.5,0.08333333333333333
267,POST_TEST,baseline,0.8333333333333334,0.8333333333333334,0.5,0.25,0.25
268,PRE_TEST,zpdes,0.9166666666666666,0.75,0.4166666666666667,0.3333333333333333,0.4166666666666667
268,POST_TEST,zpdes,0.9166666666666666,0.8333333333333334,0.75,0.5,0.5833333333333334
270,PRE_TEST,zpdes,0.9166666666666666,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.08333333333333333
270,POST_TEST,zpdes,0.8333333333333334,0.8333333333333334,0.5,0.5,0.16666666666666666
272,PRE_TEST,baseline,0.9166666666666666,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.0
272,POST_TEST,baseline,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.25,0.0
274,PRE_TEST,baseline,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.08333333333333333,0.08333333333333333
274,POST_TEST,baseline,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0
277,PRE_TEST,zpdes,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.25,0.0
277,POST_TEST,zpdes,1.0,0.9166666666666666,0.6666666666666666,0.4166666666666667,0.0
280,PRE_TEST,zpdes,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.16666666666666666,0.0
280,POST_TEST,zpdes,1.0,0.9166666666666666,0.8333333333333334,0.4166666666666667,0.25
281,PRE_TEST,baseline,0.9166666666666666,0.8333333333333334,0.3333333333333333,0.25,0.08333333333333333
281,POST_TEST,baseline,1.0,1.0,0.75,0.6666666666666666,0.16666666666666666
