,1-accuracy,1-nb,1-rt,4-accuracy,4-nb,4-rt,8-accuracy,8-nb,8-rt,Unnamed: 0,condition,participant_id,participant_name,results_correct,results_responses,results_rt,results_speed_stim,task_idx,task_status
11,0.6933333333333334,15,4727.0,0.5733333333333334,15,5065.266666666666,0.52,15,4434.466666666666,11,zpdes,247,kelly.vin,"['0.4', '0.6', '0.6', '0.6', '0.8', '0.8', '0.6', '0.8', '0.4', '0.6', '0.8', '0.4', '0.4', '0.8', '0.6', '0.4', '0.8', '0.6', '0.8', '0.6', '0.6', '0.8', '0.6', '0.4', '0.4', '0.6', '0.6', '0.4', '0.6', '0.8', '0.4', '0.6', '0.6', '0.4', '0.8', '0.4', '0.8', '0.8', '0.6', '0.8', '0.4', '0.6', '0.6', '0.6', '0.2']","['8', '0', '7', '2', '6', '2', '0', '8', '1', '5', '0', '9', '1', '4', '6', '0', '4', '3', '5', '8', '1', '3', '0', '6', '2', '4', '1', '2', '0', '9', '2', '3', '9', '1', '7', '5', '3', '2', '0', '1', '6', '8', '4', '3', '5', '3', '2', '4', '7', '5', '3', '1', '9', '4', '0', '8', '4', '9', '3', '7', '4', '5', '7', '9', '0', '1', '3', '0', '8', '4', '1', '4', '2', '9', '8', '4', '1', '7', '5', '9', '3', '0', '1', '8', '4', '2', '3', '6', '0', '5', '0', '3', '4', '2', '9', '4', '2', '3', '9', '7', '2', '4', '6', '7', '1', '1', '4', '6', '3', '0', '0', '1', '4', '5', '7', '5', '8', '9', '2', '0', '2', '6', '0', '7', '9', '2', '1', '3', '9', '5', '5', '3', '0', '1', '9', '5', '6', '4', '1', '8', '5', '4', '6', '0', '2', '2', '4', '1', '3', '7', '0', '2', '8', '9', '5', '4', '2', '9', '8', '1', '0', '3', '7', '8', '1', '8', '9', '7', '0', '3', '0', '1', '4', '3', '7', '1', '5', '9', '3', '8', '3', '0', '4', '2', '9', '3', '2', '9', '4', '1', '6', '4', '0', '2', '5', '2', '1', '3', '8', '0', '4', '8', '0', '9', '7', '5', '2', '4', '7', '0', '3', '0', '1', '8', '6', '4', '0', '7', '3', '5', '8', '7', '2', '5', '6']","['4935', '3659', '4695', '3474', '3532', '2964', '3772', '3050', '4526', '4411', '4029', '5517', '3135', '3929', '3857', '3049', '3333', '3631', '5901', '3758', '4249', '4738', '5660', '2722', '4028', '7517', '2822', '4143', '4767', '7105', '6525', '6056', '4226', '4738', '4623', '2879', '3177', '4057', '3574', '6000', '2738', '3446', '6199', '17177', '11078']","['8', '4', '1', '4', '8', '1', '4', '1', '8', '1', '8', '4', '8', '1', '4', '8', '1', '4', '1', '4', '8', '1', '4', '8', '8', '1', '4', '4', '8', '1', '1', '4', '8', '8', '1', '4', '1', '8', '4', '4', '1', '8', '1', '4', '8']",1,PRE_TEST
12,0.7333333333333335,15,12312.466666666667,0.5999999999999999,15,5751.866666666667,0.4933333333333334,15,4125.6,12,zpdes,247,kelly.vin,"['0.6', '0.8', '0.8', '0.6', '0.6', '0.4', '0.2', '0.8', '1', '0.6', '0.6', '0.6', '0.6', '0.8', '0.4', '1', '0.6', '0.4', '0.6', '0.4', '0.4', '0.6', '0.6', '0.4', '0.6', '0.6', '0.8', '0.8', '0.4', '0.8', '0.8', '0.6', '0.8', '0.6', '0.4', '0.8', '0.4', '0.8', '0.4', '0.4', '0.4', '0.8', '0.6', '0.8', '0.4']","['0', '1', '8', '6', '2', '1', '4', '3', '8', '2', '2', '3', '7', '1', '4', '7', '4', '6', '0', '1', '1', '4', '9', '0', '7', '0', '9', '7', '5', '1', '9', '6', '7', '4', '8', '1', '4', '3', '2', '7', '4', '0', '2', '1', '3', '6', '0', '2', '5', '4', '5', '0', '1', '8', '3', '1', '6', '2', '4', '8', '3', '9', '0', '4', '7', '3', '1', '4', '0', '6', '8', '9', '4', '0', '5', '1', '3', '2', '4', '0', '4', '1', '3', '9', '6', '6', '2', '1', '5', '8', '2', '0', '4', '9', '6', '2', '8', '6', '7', '4', '7', '0', '8', '9', '3', '5', '1', '4', '3', '9', '2', '4', '5', '8', '3', '6', '4', '5', '7', '1', '2', '0', '1', '5', '6', '2', '8', '9', '0', '4', '4', '3', '0', '5', '2', '3', '5', '0', '4', '2', '1', '0', '9', '5', '8', '2', '4', '3', '0', '7', '0', '3', '2', '6', '4', '0', '2', '9', '7', '3', '3', '4', '8', '1', '0', '2', '9', '1', '7', '4', '7', '0', '9', '4', '8', '4', '8', '1', '0', '3', '4', '7', '6', '2', '5', '1', '3', '4', '0', '7', '4', '1', '5', '7', '8', '6', '4', '0', '9', '8', '7', '9', '4', '5', '0', '0', '7', '3', '4', '1', '3', '2', '9', '4', '6', '4', '2', '1', '5', '0', '1', '9', '4', '8', '6']","['5191', '3108', '2737', '2624', '3532', '5759', '5716', '6155', '3432', '2368', '2723', '5120', '3248', '4397', '2780', '3390', '5092', '3305', '3574', '6454', '3148', '2468', '4795', '3191', '2965', '2524', '2511', '3064', '2822', '3971', '6949', '3049', '3674', '12680', '4184', '3533', '5971', '3120', '3688', '7716', '18950', '126222', '5659', '7474', '7816']","['4', '8', '1', '8', '4', '1', '8', '4', '1', '4', '1', '8', '8', '1', '4', '1', '4', '8', '4', '1', '8', '1', '4', '8', '1', '8', '4', '1', '8', '4', '1', '4', '8', '4', '8', '1', '4', '1', '8', '8', '4', '1', '4', '1', '8']",1,POST_TEST
13,0.9600000000000001,15,4190.0,0.7466666666666666,15,4190.866666666667,0.6533333333333334,15,5356.866666666667,13,baseline,251,βen10,"['0.8', '1', '0.6', '0.8', '0.6', '0.8', '0.8', '1', '0.4', '1', '0.6', '0.8', '0.8', '0.8', '1', '1', '0.8', '0.6', '0.4', '1', '0.8', '0.8', '1', '1', '0.6', '1', '1', '0.6', '0.6', '0.6', '0.8', '1', '0.8', '1', '0.6', '0.6', '0.6', '0.4', '1', '1', '0.8', '0.8', '1', '0.8', '0.6']","['4', '0', '1', '2', '6', '4', '0', '1', '3', '2', '0', '4', '8', '2', '7', '2', '7', '4', '0', '1', '3', '2', '0', '7', '9', '3', '5', '2', '1', '4', '3', '4', '1', '2', '7', '4', '3', '0', '1', '2', '4', '6', '9', '1', '7', '1', '0', '2', '4', '3', '4', '1', '8', '7', '3', '2', '3', '1', '0', '6', '4', '0', '2', '1', '5', '3', '0', '1', '2', '8', '0', '4', '2', '3', '1', '0', '1', '3', '4', '2', '2', '3', '0', '4', '6', '3', '5', '2', '4', '9', '6', '7', '3', '9', '0', '2', '3', '0', '4', '1', '0', '5', '3', '1', '4', '3', '2', '4', '1', '5', '0', '1', '4', '2', '3', '2', '1', '0', '4', '3', '3', '2', '0', '6', '7', '0', '4', '1', '2', '3', '2', '1', '0', '4', '3', '3', '1', '7', '0', '9', '4', '3', '5', '9', '1', '1', '6', '4', '5', '0', '0', '1', '3', '2', '5', '2', '3', '1', '4', '0', '6', '2', '1', '4', '0', '1', '3', '4', '2', '0', '6', '2', '4', '8', '1', '9', '1', '0', '4', '7', '1', '3', '2', '5', '8', '5', '1', '6', '0', '7', '2', '4', '1', '0', '3', '4', '2', '3', '1', '0', '2', '3', '7', '1', '0', '0', '1', '4', '3', '8', '4', '1', '0', '2', '3', '1', '4', '3', '7', '2', '4', '3', '1', '5', '6']","['8809', '3691', '3878', '4379', '3989', '3856', '3722', '3589', '6003', '3288', '6328', '4579', '5736', '4764', '3589', '4113', '4538', '3273', '5894', '4105', '7052', '4288', '4271', '3447', '4087', '5538', '3156', '3655', '4254', '5179', '4355', '3555', '3555', '4122', '5553', '3972', '3872', '4745', '4105', '5853', '4207', '7835', '4820', '3939', '4528']","['8', '1', '4', '4', '8', '1', '4', '1', '8', '1', '8', '4', '8', '4', '1', '1', '8', '4', '8', '1', '4', '8', '4', '1', '8', '1', '4', '4', '8', '1', '8', '1', '4', '1', '8', '4', '4', '8', '1', '1', '4', '8', '1', '8', '4']",1,PRE_TEST
14,1.0,15,4141.4,0.88,15,3931.4666666666667,0.7200000000000001,15,4145.8,14,baseline,251,βen10,"['1', '0.6', '1', '1', '1', '0.8', '0.8', '0.6', '1', '1', '0.6', '1', '0.6', '1', '1', '1', '0.8', '0.6', '1', '1', '0.8', '1', '1', '1', '0.6', '1', '1', '1', '0.6', '1', '1', '0.8', '0.4', '1', '0.8', '0.6', '1', '0.6', '0.8', '1', '1', '1', '0.6', '1', '1']","['0', '4', '3', '1', '2', '3', '4', '0', '8', '5', '3', '4', '2', '1', '0', '2', '0', '4', '1', '3', '1', '4', '2', '0', '3', '0', '2', '8', '3', '1', '1', '4', '3', '0', '7', '5', '9', '0', '2', '3', '1', '4', '3', '2', '0', '4', '1', '2', '3', '0', '9', '0', '1', '3', '5', '4', '2', '0', '1', '3', '2', '7', '5', '0', '3', '4', '3', '1', '0', '2', '2', '1', '3', '0', '4', '2', '3', '4', '0', '1', '3', '2', '4', '0', '9', '3', '7', '9', '1', '4', '3', '0', '2', '4', '1', '2', '4', '1', '0', '3', '3', '4', '1', '7', '2', '4', '2', '0', '3', '1', '4', '0', '3', '1', '2', '3', '4', '0', '1', '2', '1', '3', '0', '9', '5', '2', '3', '4', '0', '1', '3', '1', '0', '4', '2', '4', '2', '3', '0', '1', '1', '3', '2', '5', '9', '3', '2', '0', '4', '1', '0', '1', '2', '3', '4', '5', '4', '1', '2', '0', '9', '6', '5', '1', '0', '2', '1', '0', '4', '3', '3', '1', '9', '0', '4', '9', '6', '0', '1', '2', '1', '0', '4', '3', '2', '8', '3', '0', '1', '9', '8', '0', '1', '2', '3', '1', '3', '4', '2', '0', '2', '1', '3', '0', '4', '2', '1', '0', '3', '4', '0', '2', '8', '4', '5', '3', '4', '0', '2', '1', '4', '3', '0', '2', '1']","['4554', '7085', '3189', '4038', '3963', '4363', '3198', '2849', '4470', '3879', '2972', '3929', '3780', '2739', '3197', '2955', '3915', '4448', '4937', '3330', '4221', '3689', '3889', '3163', '4080', '4063', '4412', '4362', '4762', '6976', '3189', '4012', '4804', '3555', '4113', '5828', '3771', '4204', '3397', '4504', '4154', '4045', '3563', '4471', '4263']","['1', '8', '4', '1', '4', '8', '8', '4', '1', '4', '8', '1', '8', '4', '1', '1', '8', '4', '1', '4', '8', '4', '8', '1', '8', '4', '1', '4', '8', '1', '1', '4', '8', '1', '8', '4', '1', '4', '8', '1', '4', '8', '8', '1', '4']",1,POST_TEST
15,0.9466666666666668,15,5861.133333333333,0.7333333333333333,15,7773.266666666666,0.6266666666666666,15,7783.8,15,baseline,254,scostard,"['0.8', '1', '0.6', '0.8', '1', '0.4', '0.8', '0.6', '0.8', '1', '0.8', '0.8', '0.4', '1', '0.6', '1', '0.8', '1', '0.6', '0.8', '1', '1', '0.8', '1', '0.4', '1', '0.8', '0.6', '1', '0.6', '1', '0.4', '0.6', '0.8', '1', '0.6', '0.8', '1', '0.4', '0.6', '0.6', '0.8', '0.6', '1', '0.6']","['1', '0', '5', '2', '4', '3', '1', '0', '2', '4', '1', '2', '0', '9', '7', '1', '2', '8', '4', '3', '4', '2', '3', '1', '0', '2', '7', '1', '5', '8', '4', '2', '9', '1', '3', '5', '1', '9', '3', '4', '3', '1', '0', '4', '9', '1', '4', '2', '0', '3', '3', '1', '0', '4', '5', '4', '1', '0', '9', '2', '0', '1', '6', '8', '9', '4', '1', '2', '0', '3', '1', '3', '2', '8', '6', '2', '4', '3', '0', '1', '2', '0', '4', '1', '7', '0', '2', '3', '1', '4', '3', '4', '6', '5', '2', '1', '2', '3', '4', '9', '1', '3', '0', '2', '4', '3', '1', '0', '4', '2', '8', '0', '2', '1', '3', '4', '1', '2', '0', '3', '7', '6', '1', '5', '0', '1', '4', '0', '2', '3', '4', '2', '3', '0', '6', '8', '4', '7', '3', '0', '4', '1', '2', '3', '0', '3', '7', '4', '9', '0', '3', '2', '1', '4', '0', '6', '2', '7', '1', '5', '2', '8', '0', '9', '1', '0', '4', '2', '3', '7', '3', '0', '4', '2', '1', '3', '4', '1', '6', '7', '5', '3', '2', '4', '0', '3', '2', '1', '4', '0', '1', '5', '0', '8', '6', '1', '0', '4', '5', '7', '1', '9', '3', '6', '0', '2', '3', '1', '5', '4', '2', '7', '6', '4', '0', '1', '2', '3', '4', '0', '2', '4', '1', '5', '9']","['20824', '4301', '7253', '12505', '4920', '10169', '6326', '12217', '10622', '5385', '9692', '6637', '3969', '4116', '5615', '11252', '5186', '4369', '7316', '10555', '3251', '4101', '6020', '13504', '7754', '3953', '5951', '5219', '5136', '10071', '7021', '5986', '6560', '8087', '4385', '5769', '7603', '6224', '7168', '6938', '4353', '5118', '5151', '5285', '7436']","['4', '1', '8', '4', '1', '8', '8', '1', '4', '4', '8', '1', '4', '1', '8', '1', '8', '4', '8', '4', '1', '1', '4', '8', '8', '1', '4', '4', '1', '8', '1', '4', '8', '4', '1', '8', '4', '1', '8', '8', '4', '1', '4', '1', '8']",1,PRE_TEST
16,0.9600000000000002,15,5592.133333333333,0.7733333333333334,15,4770.066666666667,0.6133333333333333,15,3849.0666666666666,16,baseline,254,scostard,"['0.8', '0.6', '1', '0.8', '0.6', '0.8', '1', '1', '1', '0.8', '1', '0.6', '1', '1', '0.6', '0.8', '0.4', '1', '0.6', '0.8', '1', '1', '0.4', '0.8', '0.6', '0.6', '1', '0.8', '0.8', '1', '0.4', '0.8', '0.8', '0.6', '0.8', '0.6', '1', '1', '0.6', '1', '0.6', '0.8', '0.6', '1', '0.4']","['2', '5', '3', '4', '1', '7', '0', '4', '1', '9', '3', '4', '1', '2', '0', '0', '3', '1', '7', '4', '8', '2', '1', '9', '4', '1', '8', '0', '2', '4', '1', '0', '3', '2', '4', '4', '0', '3', '2', '1', '3', '1', '2', '4', '0', '1', '3', '4', '0', '9', '3', '2', '4', '0', '1', '3', '6', '4', '8', '1', '3', '1', '2', '4', '0', '3', '4', '2', '0', '1', '9', '4', '2', '0', '7', '1', '0', '3', '2', '7', '9', '5', '6', '3', '0', '2', '3', '4', '1', '0', '3', '1', '0', '6', '7', '3', '1', '0', '6', '2', '0', '1', '3', '4', '2', '0', '2', '4', '1', '3', '0', '8', '4', '7', '9', '8', '3', '0', '1', '4', '5', '8', '1', '2', '0', '2', '4', '3', '7', '9', '0', '3', '1', '2', '4', '0', '4', '2', '1', '6', '3', '4', '0', '2', '8', '2', '3', '0', '4', '1', '3', '0', '5', '7', '9', '2', '1', '3', '4', '5', '4', '1', '0', '2', '8', '0', '5', '4', '6', '2', '3', '0', '2', '8', '4', '0', '5', '6', '4', '1', '3', '1', '4', '0', '2', '3', '4', '0', '1', '2', '7', '5', '3', '2', '1', '1', '4', '0', '3', '2', '0', '2', '1', '6', '7', '1', '8', '4', '0', '3', '5', '2', '0', '8', '4', '2', '3', '4', '0', '1', '5', '9', '3', '2', '7']","['4274', '9657', '6016', '12559', '5387', '20275', '4770', '4363', '2834', '3005', '2198', '4668', '6807', '2302', '3201', '4931', '4605', '6474', '2352', '3181', '3283', '5719', '4670', '3639', '3284', '3955', '1499', '3371', '6986', '4685', '4570', '4288', '2584', '4019', '2081', '2658', '2150', '15966', '3551', '2382', '2937', '2235', '2484', '3648', '2666']","['8', '4', '1', '4', '8', '1', '1', '8', '4', '4', '1', '8', '4', '1', '8', '4', '8', '1', '8', '4', '1', '1', '8', '4', '8', '4', '1', '8', '4', '1', '8', '4', '1', '8', '1', '4', '4', '1', '8', '1', '8', '4', '8', '1', '4']",1,POST_TEST
17,1.0,15,4204.4,0.8133333333333336,15,3626.4,0.5866666666666667,15,4353.533333333334,17,baseline,257,mayol,"['1', '0.4', '0.4', '0.8', '0.8', '1', '0.4', '0.8', '1', '0.6', '1', '1', '0.8', '1', '0.8', '0.6', '1', '0.6', '0.6', '1', '0.8', '1', '0.6', '1', '0.8', '1', '0.4', '0.6', '1', '1', '1', '0.8', '0.8', '0.4', '0.8', '1', '1', '1', '0.6', '1', '0.4', '0.8', '1', '0.8', '0.8']","['1', '2', '4', '0', '3', '8', '9', '0', '4', '6', '9', '5', '7', '4', '3', '1', '5', '2', '3', '4', '3', '4', '0', '6', '1', '4', '3', '0', '2', '1', '4', '2', '6', '9', '5', '1', '2', '3', '0', '9', '3', '4', '2', '0', '1', '5', '1', '4', '6', '0', '2', '1', '4', '0', '3', '0', '4', '2', '3', '1', '1', '0', '2', '4', '7', '4', '3', '1', '2', '0', '0', '7', '2', '1', '3', '0', '5', '2', '4', '8', '2', '3', '1', '0', '4', '8', '4', '1', '6', '2', '2', '5', '3', '6', '4', '1', '4', '0', '2', '3', '0', '3', '4', '5', '2', '0', '4', '3', '1', '2', '3', '0', '1', '9', '5', '2', '1', '0', '4', '3', '6', '2', '3', '1', '0', '0', '4', '1', '3', '2', '6', '4', '7', '0', '9', '7', '0', '4', '5', '1', '0', '4', '1', '2', '3', '3', '1', '2', '4', '0', '3', '0', '1', '4', '2', '4', '0', '3', '2', '5', '1', '4', '6', '2', '0', '8', '0', '5', '1', '6', '4', '7', '0', '3', '2', '0', '2', '1', '3', '4', '0', '3', '1', '4', '2', '2', '4', '1', '3', '0', '5', '2', '3', '1', '8', '3', '0', '4', '1', '2', '3', '8', '1', '7', '9', '1', '3', '0', '2', '8', '1', '4', '0', '2', '3', '7', '1', '4', '2', '3', '0', '4', '3', '2', '7']","['7392', '5444', '5260', '5893', '5179', '6942', '5046', '6160', '5646', '13838', '4529', '5113', '3446', '6027', '3515', '2332', '2729', '2548', '2813', '7059', '2113', '3229', '3564', '2865', '2182', '3181', '2631', '3747', '2798', '2047', '2129', '2631', '2564', '1865', '2832', '4761', '2046', '2149', '2348', '2664', '2414', '3548', '2362', '7291', '5893']","['1', '8', '4', '8', '4', '1', '8', '4', '1', '8', '4', '1', '8', '1', '4', '8', '1', '4', '8', '1', '4', '4', '8', '1', '4', '1', '8', '8', '4', '1', '1', '8', '4', '8', '4', '1', '4', '1', '8', '1', '8', '4', '1', '8', '4']",1,PRE_TEST
18,0.9866666666666667,15,2837.9333333333334,0.9600000000000001,15,2625.2,0.7466666666666666,15,2205.3333333333335,18,baseline,257,mayol,"['0.6', '1', '1', '1', '0.8', '0.8', '1', '0.8', '0.6', '0.8', '1', '0.8', '1', '1', '1', '0.8', '1', '1', '1', '0.8', '1', '1', '0.8', '0.8', '1', '1', '0.8', '0.6', '1', '1', '1', '0.6', '1', '0.8', '1', '1', '1', '1', '0.6', '0.6', '1', '1', '1', '1', '1']","['9', '1', '8', '4', '3', '3', '2', '0', '4', '1', '0', '2', '1', '3', '4', '1', '4', '3', '0', '2', '1', '4', '3', '6', '2', '8', '3', '0', '1', '4', '0', '3', '1', '4', '2', '0', '5', '1', '3', '2', '2', '0', '1', '8', '9', '3', '0', '2', '1', '7', '4', '0', '2', '1', '3', '0', '4', '2', '5', '1', '2', '3', '0', '4', '1', '4', '3', '0', '1', '2', '2', '4', '1', '3', '0', '3', '4', '8', '1', '0', '2', '0', '1', '3', '4', '2', '3', '4', '1', '0', '0', '3', '4', '1', '2', '0', '3', '1', '7', '2', '0', '1', '4', '2', '3', '2', '3', '0', '1', '4', '3', '2', '5', '0', '1', '4', '0', '5', '3', '1', '3', '0', '2', '1', '4', '4', '3', '1', '2', '0', '5', '3', '2', '4', '1', '9', '3', '0', '4', '8', '1', '3', '4', '2', '0', '1', '4', '0', '3', '2', '2', '1', '4', '0', '3', '3', '1', '9', '5', '4', '2', '1', '3', '4', '0', '0', '3', '6', '2', '1', '1', '4', '0', '3', '2', '2', '1', '4', '0', '3', '4', '2', '3', '1', '0', '2', '3', '4', '0', '1', '1', '9', '5', '4', '3', '8', '2', '5', '1', '4', '3', '4', '2', '0', '1', '2', '0', '3', '1', '4', '3', '0', '2', '4', '1', '4', '3', '2', '1', '0', '1', '3', '2', '4', '0']","['1816', '6111', '2493', '2948', '2046', '2582', '1881', '2613', '2995', '1653', '1898', '2547', '2450', '2051', '1914', '2097', '3629', '3164', '3364', '2149', '1766', '2081', '2165', '2348', '1797', '3362', '3180', '2314', '2482', '2264', '3512', '1583', '2850', '1650', '2748', '3977', '4576', '3031', '2331', '1449', '2466', '1816', '2666', '1897', '2315']","['8', '1', '4', '4', '1', '8', '1', '4', '8', '8', '1', '4', '8', '4', '1', '8', '1', '4', '4', '8', '1', '1', '8', '4', '4', '1', '8', '8', '4', '1', '1', '8', '4', '8', '1', '4', '1', '4', '8', '8', '1', '4', '8', '4', '1']",1,POST_TEST
19,0.9333333333333335,15,4788.466666666666,0.6133333333333333,15,5255.0,0.5066666666666666,15,5095.133333333333,19,baseline,260,elogaugi,"['0.6', '0.4', '0.8', '0.4', '0.6', '1', '1', '0.4', '0.8', '0.2', '1', '0.8', '0.6', '0.6', '0.2', '0.6', '0.4', '1', '0.8', '0.8', '1', '0.6', '1', '0.8', '0.6', '1', '0.8', '0.6', '0.8', '1', '1', '0.6', '0.4', '0.6', '0.4', '0.8', '1', '0.4', '0.6', '0.4', '1', '0.6', '0.8', '0.4', '0.6']","['3', '6', '0', '1', '7', '1', '9', '3', '7', '6', '0', '4', '5', '2', '1', '1', '9', '7', '5', '2', '3', '4', '7', '5', '0', '1', '2', '3', '4', '0', '2', '0', '3', '4', '1', '4', '9', '8', '7', '3', '3', '2', '5', '1', '0', '0', '5', '7', '8', '9', '2', '0', '4', '3', '1', '8', '1', '4', '3', '0', '3', '8', '2', '0', '5', '6', '3', '2', '4', '5', '5', '6', '8', '9', '4', '1', '8', '0', '9', '3', '8', '9', '3', '0', '5', '2', '0', '4', '3', '1', '0', '3', '9', '2', '4', '2', '0', '1', '3', '6', '0', '4', '2', '1', '3', '1', '8', '2', '5', '0', '1', '4', '0', '3', '2', '0', '1', '2', '4', '6', '6', '8', '4', '2', '1', '2', '1', '3', '4', '0', '4', '2', '0', '6', '1', '5', '2', '3', '1', '9', '4', '8', '3', '0', '1', '0', '2', '3', '4', '1', '4', '1', '3', '2', '0', '1', '3', '7', '8', '4', '1', '0', '6', '9', '5', '6', '5', '2', '4', '0', '7', '9', '8', '4', '3', '4', '2', '1', '7', '3', '0', '2', '4', '3', '1', '4', '1', '6', '7', '8', '2', '0', '8', '7', '4', '0', '5', '8', '7', '3', '3', '2', '4', '1', '0', '0', '3', '2', '7', '6', '2', '0', '3', '5', '4', '4', '8', '0', '5', '9', '3', '0', '4', '6', '7']","['5599', '6166', '6883', '4933', '5767', '7482', '5117', '5550', '7400', '4283', '3750', '4683', '5332', '4083', '4799', '5266', '3750', '3983', '4483', '3549', '4749', '3533', '4233', '4416', '4399', '5166', '4683', '7583', '5399', '4350', '4133', '4266', '6383', '3617', '5282', '5316', '3450', '8633', '3783', '4449', '4133', '7366', '3750', '6333', '4816']","['4', '8', '1', '8', '4', '1', '1', '8', '4', '8', '1', '4', '1', '4', '8', '4', '8', '1', '8', '4', '1', '4', '1', '8', '4', '1', '8', '8', '4', '1', '1', '8', '4', '8', '4', '1', '1', '8', '4', '8', '1', '4', '1', '4', '8']",1,PRE_TEST
20,0.8800000000000001,15,4807.466666666666,0.6533333333333332,15,5534.8,0.5466666666666667,15,4918.6,20,baseline,260,elogaugi,"['0.8', '0.6', '0.6', '0.8', '0.6', '1', '0.6', '0.6', '1', '1', '0.6', '0.6', '0.4', '0.6', '1', '0.8', '0.8', '0.8', '0.8', '0.6', '0.6', '0.8', '0.4', '0.4', '0.8', '0.6', '0.6', '0.8', '0.6', '0.8', '0.6', '0.8', '0.4', '1', '0.6', '0.4', '1', '0.2', '1', '1', '0.4', '0.8', '0.6', '0.6', '0.8']","['2', '1', '4', '0', '5', '3', '9', '4', '6', '2', '0', '3', '9', '1', '6', '2', '1', '3', '4', '9', '2', '0', '9', '3', '7', '2', '3', '1', '0', '4', '4', '9', '5', '1', '2', '3', '4', '7', '8', '1', '3', '0', '2', '4', '1', '1', '3', '0', '4', '2', '1', '4', '3', '6', '9', '3', '4', '0', '6', '9', '2', '8', '5', '0', '7', '2', '7', '0', '4', '6', '2', '1', '4', '3', '0', '4', '3', '1', '2', '6', '7', '0', '3', '1', '4', '2', '4', '1', '9', '3', '4', '3', '7', '1', '0', '8', '1', '3', '6', '4', '1', '3', '4', '6', '5', '3', '0', '4', '1', '9', '7', '3', '8', '6', '2', '0', '1', '9', '5', '7', '1', '0', '4', '2', '9', '7', '3', '4', '6', '2', '0', '4', '3', '5', '9', '2', '1', '9', '4', '0', '5', '1', '6', '3', '2', '4', '0', '1', '3', '5', '0', '2', '4', '8', '7', '1', '3', '5', '4', '0', '3', '9', '6', '7', '2', '3', '2', '0', '4', '1', '0', '1', '5', '3', '9', '0', '7', '8', '2', '9', '0', '2', '3', '1', '4', '3', '6', '8', '7', '9', '2', '3', '1', '4', '0', '2', '4', '1', '3', '0', '4', '5', '1', '9', '7', '2', '4', '3', '0', '9', '0', '3', '1', '9', '7', '2', '7', '3', '6', '1', '2', '3', '1', '6', '4']","['7067', '5999', '3467', '4500', '5484', '5332', '5299', '5784', '4348', '3750', '6850', '4217', '6499', '4785', '4133', '5648', '4283', '4400', '4135', '4317', '6599', '4117', '5583', '5267', '5149', '6689', '5866', '3782', '6066', '3967', '4583', '3849', '4366', '6633', '4634', '5750', '4016', '4817', '2967', '5350', '3401', '4782', '6016', '5100', '9267']","['4', '8', '1', '8', '4', '1', '8', '4', '1', '1', '4', '8', '8', '4', '1', '1', '8', '4', '1', '8', '4', '1', '8', '4', '1', '4', '8', '8', '4', '1', '4', '1', '8', '1', '4', '8', '4', '8', '1', '1', '8', '4', '4', '8', '1']",1,POST_TEST
