participant_id,task_status,condition,1-accuracy,4-accuracy,8-accuracy,1-rt,4-rt,8-rt
228,PRE_TEST,zpdes,0.9866666666666667,0.68,0.5733333333333334,7380.533333333334,7610.8,8611.466666666667
228,POST_TEST,zpdes,0.92,0.9600000000000001,0.6933333333333332,4333.4,4358.8,4568.4
231,PRE_TEST,baseline,0.9866666666666667,0.7599999999999999,0.5866666666666667,4848.8,5644.2,5406.533333333334
231,POST_TEST,baseline,1.0,0.7599999999999999,0.5733333333333334,3891.0666666666666,3833.6,3907.733333333333
232,PRE_TEST,zpdes,0.9866666666666667,0.8000000000000002,0.6133333333333334,2915.133333333333,2897.5333333333333,3004.8
232,POST_TEST,zpdes,0.9333333333333333,0.7066666666666667,0.6133333333333333,3028.866666666667,3013.0,3195.4666666666667
233,PRE_TEST,zpdes,0.9200000000000002,0.6666666666666666,0.5466666666666666,4173.666666666667,4038.5333333333333,4118.933333333333
233,POST_TEST,zpdes,0.9733333333333334,0.8266666666666668,0.5866666666666667,3566.6,3710.6,3462.2
246,PRE_TEST,baseline,0.8666666666666669,0.6799999999999999,0.6133333333333333,5159.2,4858.266666666666,5237.066666666667
246,POST_TEST,baseline,0.9333333333333333,0.7733333333333333,0.6266666666666667,6067.0,5675.866666666667,6123.733333333334
247,PRE_TEST,zpdes,0.6933333333333334,0.5733333333333334,0.52,4727.0,5065.266666666666,4434.466666666666
247,POST_TEST,zpdes,0.7333333333333335,0.5999999999999999,0.4933333333333334,12312.466666666667,5751.866666666667,4125.6
251,PRE_TEST,baseline,0.9600000000000001,0.7466666666666666,0.6533333333333334,4190.0,4190.866666666667,5356.866666666667
251,POST_TEST,baseline,1.0,0.88,0.7200000000000001,4141.4,3931.4666666666667,4145.8
254,PRE_TEST,baseline,0.9466666666666668,0.7333333333333333,0.6266666666666666,5861.133333333333,7773.266666666666,7783.8
254,POST_TEST,baseline,0.9600000000000002,0.7733333333333334,0.6133333333333333,5592.133333333333,4770.066666666667,3849.0666666666666
257,PRE_TEST,baseline,1.0,0.8133333333333336,0.5866666666666667,4204.4,3626.4,4353.533333333334
257,POST_TEST,baseline,0.9866666666666667,0.9600000000000001,0.7466666666666666,2837.9333333333334,2625.2,2205.3333333333335
260,PRE_TEST,baseline,0.9333333333333335,0.6133333333333333,0.5066666666666666,4788.466666666666,5255.0,5095.133333333333
260,POST_TEST,baseline,0.8800000000000001,0.6533333333333332,0.5466666666666667,4807.466666666666,5534.8,4918.6
261,PRE_TEST,zpdes,1.0,0.7866666666666667,0.5733333333333334,3335.4666666666667,3141.6,2997.733333333333
261,POST_TEST,zpdes,0.9600000000000001,0.92,0.6133333333333333,3872.133333333333,5516.0,4949.333333333333
263,PRE_TEST,baseline,0.18666666666666668,0.40000000000000013,0.48000000000000004,4272.533333333334,4387.266666666666,4292.933333333333
263,POST_TEST,baseline,0.9200000000000002,0.6533333333333334,0.4799999999999999,4241.8,4281.466666666666,4137.466666666666
265,PRE_TEST,zpdes,0.8666666666666668,0.6266666666666666,0.5866666666666666,5202.066666666667,6022.6,5748.533333333334
265,POST_TEST,zpdes,0.9200000000000002,0.7333333333333335,0.5866666666666666,4923.333333333333,5571.6,5161.8
267,PRE_TEST,baseline,1.0,0.9066666666666667,0.6799999999999999,5024.0,5098.533333333334,5788.666666666667
267,POST_TEST,baseline,0.9866666666666667,0.9066666666666666,0.7733333333333334,5107.733333333334,5234.133333333333,5493.4
268,PRE_TEST,zpdes,0.9866666666666667,0.8000000000000002,0.6,4875.2,4449.533333333334,5224.333333333333
268,POST_TEST,zpdes,0.9866666666666667,0.88,0.64,4172.4,4374.8,4086.133333333333
270,PRE_TEST,zpdes,0.9600000000000001,0.7733333333333333,0.48000000000000015,4706.4,5597.466666666666,5680.866666666667
270,POST_TEST,zpdes,0.9733333333333334,0.9600000000000001,0.64,4693.066666666667,4899.0,4747.6
272,PRE_TEST,baseline,0.8533333333333334,0.5333333333333333,0.56,5154.533333333334,4962.2,4486.0
272,POST_TEST,baseline,0.9466666666666668,0.6933333333333334,0.6,5115.933333333333,5363.866666666667,5374.933333333333
274,PRE_TEST,baseline,0.9466666666666667,0.5733333333333334,0.5066666666666667,3615.4,5263.733333333334,7062.2
274,POST_TEST,baseline,0.9466666666666668,0.7866666666666668,0.5066666666666667,4871.933333333333,4759.6,6280.866666666667
277,PRE_TEST,zpdes,0.9333333333333333,0.64,0.5333333333333333,6085.0,6506.933333333333,6555.066666666667
277,POST_TEST,zpdes,0.9066666666666668,0.7333333333333333,0.5333333333333333,7421.666666666667,6358.933333333333,6295.266666666666
280,PRE_TEST,zpdes,0.8933333333333336,0.76,0.5733333333333334,4172.133333333333,4380.133333333333,4651.6
280,POST_TEST,zpdes,0.9866666666666667,0.7866666666666667,0.6133333333333334,4169.133333333333,4068.733333333333,3684.4
281,PRE_TEST,baseline,0.9466666666666668,0.6933333333333332,0.6266666666666666,5383.133333333333,3790.133333333333,4379.0
281,POST_TEST,baseline,0.9733333333333334,0.7733333333333334,0.6133333333333333,3704.866666666667,4224.933333333333,4168.2
