,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.962,0.008,0.946,0.976,0.0,0.0,12725.0,11392.0,1.0
post_test_posterior,0.941,0.01,0.923,0.961,0.0,0.0,13032.0,10179.0,1.0
difference_of_means,-0.021,0.013,-0.045,0.004,0.0,0.0,13054.0,10197.0,1.0
