,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.96,0.009,0.944,0.975,0.0,0.0,13109.0,9840.0,1.0
post_test_posterior,0.955,0.009,0.938,0.972,0.0,0.0,13534.0,11110.0,1.0
difference_of_means,-0.006,0.013,-0.029,0.018,0.0,0.0,13510.0,11492.0,1.0
