,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.709,0.039,0.634,0.779,0.0,0.0,6959.0,5651.0,1.0,True
post_test_theta,0.776,0.036,0.71,0.844,0.0,0.0,6656.0,5258.0,1.0,True
difference_of_means,0.067,0.053,-0.028,0.17,0.001,0.0,6960.0,5906.0,1.0,True
