,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.63,0.033,0.567,0.691,0.0,0.0,14037.0,11356.0,1.0
post_test_posterior,0.658,0.032,0.599,0.718,0.0,0.0,14139.0,11265.0,1.0
difference_of_means,0.027,0.046,-0.058,0.115,0.0,0.0,13946.0,10836.0,1.0
