,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.054,0.015,0.028,0.084,0.0,0.0,12995.0,9509.0,1.0
post_test_posterior,0.032,0.012,0.011,0.054,0.0,0.0,12093.0,9683.0,1.0
difference_of_means,-0.023,0.019,-0.06,0.013,0.0,0.0,12640.0,10945.0,1.0
