,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.731,0.009,0.713,0.748,0.0,0.0,14736.0,11180.0,1.0
post_test_posterior,0.78,0.009,0.764,0.797,0.0,0.0,14547.0,10855.0,1.0
difference_of_means,0.049,0.013,0.024,0.074,0.0,0.0,14482.0,11436.0,1.0
