,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.964,0.008,0.949,0.979,0.0,0.0,13743.0,10275.0,1.0
post_test_posterior,0.962,0.008,0.946,0.977,0.0,0.0,14006.0,10909.0,1.0
difference_of_means,-0.002,0.012,-0.023,0.02,0.0,0.0,13601.0,11053.0,1.0
