participant_id,task_status,2-hit-miss,3-hit-miss,4-hit-miss,5-hit-miss,100-hit-miss,2-rt,3-rt,4-rt,5-rt,100-rt,2-fa-cr,3-fa-cr,4-fa-cr,5-fa-cr,100-fa-cr
177,PRE_TEST,0.75,1.0,0.9375,0.8125,0.5,912.9166666666666,887.9375,860.3333333333334,827.3076923076923,954.375,0.0,0.125,0.0625,0.1875,0.0
177,POST_TEST,1.0,1.0,0.875,0.9375,0.375,855.75,829.5625,856.2142857142857,871.4,897.6666666666666,0.0,0.0625,0.125,0.0,0.0
178,PRE_TEST,0.6875,0.75,0.75,0.8125,0.5,800.0909090909091,760.1666666666666,733.5,755.4615384615385,817.25,0.1875,0.4375,0.1875,0.1875,0.0
178,POST_TEST,0.875,0.625,0.8125,0.75,0.4375,791.9285714285714,754.5,752.6923076923077,789.0,795.7142857142857,0.1875,0.1875,0.25,0.25,0.0625
179,PRE_TEST,0.6875,0.6875,0.6875,0.875,0.0625,921.1818181818181,870.9090909090909,932.6363636363636,904.0,1000.0,0.0625,0.1875,0.125,0.0,0.0
179,POST_TEST,0.5625,0.9375,0.75,0.8125,0.5,938.7777777777778,893.1333333333333,905.25,900.3846153846154,947.625,0.0,0.1875,0.1875,0.1875,0.0
180,PRE_TEST,0.9375,0.75,0.8125,0.875,0.3125,814.3333333333334,851.0,818.5384615384615,869.9285714285714,849.4,0.25,0.125,0.1875,0.0625,0.125
180,POST_TEST,0.9375,0.9375,0.875,0.8125,0.5,804.0666666666667,829.6,835.2142857142857,808.4615384615385,903.5,0.0625,0.25,0.0625,0.1875,0.125
183,PRE_TEST,0.1875,0.4375,0.375,0.375,0.25,879.3333333333334,906.4285714285714,922.8333333333334,879.0,970.75,0.1875,0.0625,0.125,0.25,0.0
183,POST_TEST,0.6875,0.9375,0.875,1.0,0.3125,923.7272727272727,922.3333333333334,915.9285714285714,936.3125,875.4,0.375,0.3125,0.1875,0.25,0.0
