,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
baseline,-1.44,0.178,-1.765,-1.089,0.004,0.003,1872.0,2266.0,1.0,True
slope,-0.012,0.25,-0.486,0.442,0.006,0.004,1908.0,2230.0,1.0,True
sigma,2.739,0.088,2.577,2.905,0.002,0.001,2882.0,2440.0,1.0,True
