,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
baseline,-2.62,0.631,-3.768,-1.423,0.014,0.01,2037.0,2485.0,1.0,True
slope,-0.049,0.876,-1.749,1.521,0.02,0.014,1861.0,2617.0,1.0,True
sigma,9.832,0.314,9.247,10.426,0.005,0.004,3314.0,2781.0,1.0,True
