,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
baseline,0.209,0.212,-0.198,0.598,0.005,0.004,1807.0,2484.0,1.0,True
slope,0.004,0.296,-0.577,0.527,0.007,0.005,1664.0,2439.0,1.0,True
sigma,3.216,0.102,3.034,3.405,0.002,0.001,3598.0,2848.0,1.0,True
