,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
baseline,-0.413,0.141,-0.703,-0.168,0.003,0.002,2048.0,2337.0,1.0
slope,0.005,0.199,-0.397,0.355,0.004,0.003,2159.0,2508.0,1.0
sigma,2.216,0.072,2.087,2.353,0.001,0.001,2960.0,2501.0,1.0
