,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
baseline,-1.253,0.212,-1.659,-0.864,0.005,0.004,1643.0,2190.0,1.0
slope,0.001,0.298,-0.521,0.606,0.007,0.005,1761.0,2080.0,1.0
sigma,3.186,0.104,2.996,3.388,0.002,0.001,2547.0,2273.0,1.0
