,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
baseline,-1.318,0.157,-1.638,-1.041,0.004,0.003,1932.0,2181.0,1.0
slope,0.003,0.227,-0.416,0.413,0.005,0.004,1988.0,2315.0,1.0
sigma,2.479,0.08,2.329,2.628,0.002,0.001,2549.0,2326.0,1.0
