,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
baseline,-1.746,0.21,-2.151,-1.381,0.005,0.004,1663.0,2357.0,1.0
slope,-0.002,0.297,-0.56,0.533,0.007,0.005,1663.0,2285.0,1.0
sigma,3.184,0.103,2.994,3.373,0.002,0.001,3213.0,2533.0,1.0
