,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.603,0.032,0.542,0.663,0.0,0.0,14077.0,11157.0,1.0
post_test_posterior,0.676,0.031,0.615,0.733,0.0,0.0,14445.0,11757.0,1.0
difference_of_means,0.073,0.045,-0.015,0.154,0.0,0.0,14569.0,11427.0,1.0
