,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.788,0.027,0.736,0.838,0.0,0.0,15323.0,11945.0,1.0
post_test_posterior,0.743,0.03,0.687,0.798,0.0,0.0,15112.0,11579.0,1.0
difference_of_means,-0.045,0.04,-0.118,0.033,0.0,0.0,14733.0,11159.0,1.0
