,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_pre_test,2.278,0.004,2.271,2.285,0.0,0.0,38585.0,22624.0,1.0
mu_post_test,2.282,0.004,2.275,2.289,0.0,0.0,39423.0,22476.0,1.0
sigma,0.016,0.002,0.013,0.02,0.0,0.0,30634.0,19842.0,1.0
difference_of_means,0.004,0.005,-0.005,0.014,0.0,0.0,39326.0,22700.0,1.0
