,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
mu_pre_test,2.28,0.002,2.275,2.284,0.0,0.0,35607.0,22878.0,1.0,True
mu_post_test,2.279,0.003,2.275,2.284,0.0,0.0,39232.0,22772.0,1.0,True
sigma,0.011,0.001,0.009,0.014,0.0,0.0,32140.0,19875.0,1.0,True
difference_of_means,-0.0,0.004,-0.007,0.006,0.0,0.0,37494.0,22157.0,1.0,True
