,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.618,0.047,0.532,0.706,0.001,0.0,6647.0,5127.0,1.0,True
post_test_theta,0.772,0.04,0.698,0.848,0.0,0.0,7456.0,6144.0,1.0,True
difference_of_means,0.154,0.062,0.035,0.27,0.001,0.001,7349.0,5724.0,1.0,True
