,participant_id,task_idx,task_status,results_responses,results_rt,results_targetvalue_stim,results_num_stim,results_correct
0,4,5,PRE_TEST,"0,1,3,2,4,0,1,2,12,3,6,9,0,1,2,3,4,5,0,1,2,5,7,3,4,12,0,1,2,3,0,1,2,3,4,5,9,0,1,2,3,4,0,1,2,3,0,2,5,4,3,11,6,1,0,1,2,5,13,14,0,1,4,14,5,8,0,1,2,3,0,1,2,3,12,4,15,7,0,9,2,3,4,14,6,0,1,2,3,4,0,1,2,3,4,0,1,3,2,1,2,0,3,4,5,6,0,1,5,2,4,10,6,8,3,7,11,1,4,15,0,15,2,3,0,1,2,4,6,11,3,10,1,2,0,8,6,7,4,0,1,2,3,5,0,1,3,2,4,5,0,1,2,3,4,0,6,1,3,0,1,2,3,5,4,6,0,1,2,10,5,7,0,3,2,6,5,13,7,8,0,1,2,3,5,15,4,12,7,11,3,2,12,14,4,0,1,2,3,8,11,0,1,2,4,3,0,1,2,3,0,1,2,3,4,0,1,2,3,0,14,2,3,4,7,1,10,0,1,4,3,6,13,2,0,1,2,3,4,5,0,1,2,3,4,13,0,1,2,3,0,1,2,3,4,0,1,2,3,4,5,7,6,0,7,1,2,4,14,6,0,1,2,3,5,4,3,1,4,2,7,14,0,10,0,1,2,3,8,14,9,0,1,2,3,0,1,2,3,4,0,1,2,3,0,1,4,12,5,14,8,0,1,2,3,4,5,0,1,2,3,4,14,5,12,0,1,2,4,3,0,1,3,5,9,6,11,7,0,1,2,3,0,1,2,3,4,0,1,2,3,5,4,0,3,1,2,4,5,9","6529,12189,7218,13335,3664,7516,4581,3728,10612,10231,7102,4247,12900,5471,4502,4283,3440,6265,5870,4590,2800,6668,9023,5347,5351,3962,3329,5674,8183,8726,9271,8644,10342,7474,3994,6313,3663,13486,10867,8324,5812,3425,3963,9442,7735,4559,13510,6115,4483,3998,4565,9387,5346,7752,4427,8155,4342,4783,7088,7614","14,8,13,12,1,2,9,5,0,15,10,11,6,4,3,7,1,3,6,13,5,12,8,10,15,4,0,14,9,11,7,2,0,8,13,12,6,14,3,2,4,15,11,5,1,7,10,9,7,5,8,4,14,10,9,13,15,0,11,3,6,1,2,12,14,15,12,9,5,0,2,3,8,11,10,1,7,6,13,4,14,9,5,13,0,4,2,8,10,6,7,12,1,3,11,15,11,10,9,6,3,2,1,15,14,8,4,0,7,13,12,5,14,10,8,11,3,13,7,15,5,0,9,6,2,4,1,12,5,9,3,1,6,0,8,13,11,14,10,2,15,12,7,4,0,12,6,14,10,7,4,1,13,11,5,2,3,15,8,9,3,5,7,9,11,14,2,1,12,0,8,6,10,15,13,4,6,0,7,10,11,4,13,14,2,3,8,5,15,12,9,1,7,5,14,12,1,8,6,10,13,0,3,11,4,9,15,2,5,14,13,11,1,6,8,9,15,10,3,12,4,0,2,7,3,14,12,6,13,15,4,2,5,0,9,10,8,7,1,11,14,13,2,9,15,12,4,8,0,6,3,5,10,7,1,11,3,13,9,14,10,1,2,5,6,15,0,12,4,7,11,8,13,9,14,5,11,1,2,4,12,15,8,7,10,3,6,0,3,9,11,7,2,6,4,0,13,14,5,10,8,1,12,15,6,8,1,0,9,3,12,5,4,7,14,10,15,11,2,13,3,2,10,1,7,0,5,9,15,12,11,14,4,8,13,6,7,8,15,13,1,12,11,2,14,4,0,10,5,3,6,9,14,12,8,9,15,4,2,3,1,11,13,7,5,6,0,10,7,10,4,6,13,8,2,3,5,11,15,9,0,12,1,14,0,3,13,12,9,2,7,11,1,6,14,10,15,5,8,4,10,13,8,4,9,14,7,3,2,0,12,1,15,11,6,5,12,0,1,11,10,14,8,13,5,3,7,15,6,9,2,4,1,7,5,6,13,4,3,11,8,10,15,9,12,2,14,0,3,12,0,11,9,4,8,5,6,13,14,10,15,2,7,1,7,5,12,9,11,1,13,15,10,0,8,4,3,6,14,2,8,5,9,0,11,12,2,4,10,1,15,3,6,14,13,7,5,12,11,14,15,2,0,8,9,10,4,13,6,3,1,7,0,11,12,6,7,1,13,15,2,10,14,3,8,4,5,9,0,11,1,13,12,9,4,6,5,15,7,10,2,14,3,8,9,5,3,6,1,4,11,0,2,10,13,14,12,7,15,8,15,9,14,0,1,3,2,4,12,5,11,7,13,8,6,10,13,2,11,1,8,7,6,15,3,5,14,9,10,4,12,0,6,7,15,14,0,9,1,12,10,4,3,5,8,13,11,2,8,10,6,12,0,14,3,1,7,4,5,2,13,9,15,11,7,15,6,9,0,12,11,5,10,14,4,1,2,8,13,3,0,6,1,11,12,10,8,4,9,15,5,14,2,13,3,7,9,0,2,7,10,1,8,11,15,12,4,13,14,3,5,6,15,11,13,12,1,14,6,4,10,2,8,0,5,7,3,9,15,10,6,8,7,12,13,1,3,0,4,5,2,11,14,9,8,11,12,14,15,6,1,10,0,4,9,7,5,3,2,13,5,0,10,8,7,9,1,11,14,6,12,13,2,3,4,15,14,4,13,10,11,7,9,8,2,0,15,3,1,6,5,12,15,3,11,0,14,10,1,6,5,12,7,4,13,9,8,2,8,9,15,3,0,12,11,5,13,4,14,7,10,6,1,2,10,12,11,3,6,14,13,2,7,5,9,4,8,15,0,1,13,0,11,3,9,14,6,4,8,2,12,5,7,10,15,1,3,6,2,4,0,12,10,14,11,13,9,8,1,7,15,5,11,10,6,2,7,13,3,0,4,1,14,9,5,12,15,8,2,11,15,10,3,0,13,8,14,7,1,6,4,9,12,5,10,1,4,5,8,13,14,2,7,3,6,0,11,12,15,9,1,5,11,7,13,3,2,10,0,6,12,9,15,4,8,14,1,7,9,2,11,14,8,0,4,3,13,5,12,15,6,10,12,7,15,9,11,14,13,2,4,8,1,10,6,0,5,3,14,6,11,1,12,10,3,4,13,5,2,7,0,15,9,8,2,10,3,11,0,1,5,13,4,8,14,7,9,12,6,15","5,7,6,8,4,7,5,4,8,6,6,4,8,7,5,5,4,7,6,8,4,7,8,5,6,5,4,7,6,8,8,7,6,5,4,5,4,8,7,6,6,4,5,8,7,6,8,7,4,5,4,7,6,8,5,8,4,5,6,7","0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0"
1,4,6,POST_TEST,"0,1,2,3,4,5,7,12,0,1,14,3,4,10,12,0,1,2,3,4,0,1,2,3,0,1,3,2,4,5,0,1,2,3,4,5,0,1,2,3,0,1,2,3,4,5,6,0,1,5,2,3,4,7,15,0,1,2,4,3,0,1,2,3,0,1,3,12,2,4,14,0,1,2,3,4,0,1,2,3,4,5,0,1,2,4,12,13,6,10,0,1,2,3,9,5,7,6,1,2,3,0,4,5,6,0,1,2,3,4,0,1,2,3,5,4,0,1,2,3,0,1,11,5,3,6,4,12,0,1,2,3,4,5,6,0,1,2,3,1,0,2,3,4,5,0,1,2,3,4,0,1,3,4,6,5,14,0,1,2,4,5,7,0,3,1,12,14,2,7,10,0,1,2,3,0,1,2,3,4,0,1,2,4,5,6,14,0,1,2,3,0,1,2,4,9,5,8,7,0,1,2,3,9,0,1,2,3,5,4,0,2,1,3,4,9,5,0,1,2,3,0,1,3,2,15,14,5,13,7,2,3,4,5,9,0,1,3,2,4,0,1,2,3,4,0,1,2,3,4,5,0,1,2,3,9,6,4,7,0,1,2,3,0,1,2,3,5,6,13,0,1,2,3,4,5,0,1,2,3,0,1,11,3,4,5,6,1,0,2,3,4,0,1,2,4,3,13,11,14,0,1,10,3,6,4,7,15,0,1,2,3,4,1,2,0,7,11,5,0,1,3,6,5,4,2,0,1,2,3,0,1,2,3,7,6,12,13,0,1,2,3,14,5,0,1,2,3,4,0,1,2,3,12,5,6,0,1,2,3","7955,9550,4235,3920,5629,5550,4163,6748,12554,6593,3661,8062,4436,6037,8098,11501,7212,5929,4617,3581,6211,5948,2732,5490,4425,5933,6548,6811,3767,4324,6360,4432,6163,4998,5152,9235,4134,8702,5180,4180,3678,4527,5680,3467,7145,4952,3529,4838,3861,7960,6688,5348,6039,6776,2779,8857,6002,4150,7354,5160","10,9,8,11,1,6,5,13,0,7,14,2,12,4,3,15,9,6,13,12,1,14,2,8,4,10,11,5,15,0,3,7,12,6,7,10,1,15,3,4,11,13,8,9,2,0,14,5,5,14,1,15,10,6,8,11,12,2,0,3,9,13,4,7,2,9,13,14,0,10,3,1,11,4,15,8,6,12,5,7,0,1,2,15,3,11,7,9,5,12,8,14,13,4,6,10,12,8,1,6,11,15,7,2,14,13,9,0,4,10,3,5,13,14,8,6,5,15,2,9,10,7,4,0,11,1,12,3,3,15,11,14,7,2,6,13,9,5,0,1,4,8,12,10,8,10,7,5,0,13,14,1,2,15,12,6,11,9,4,3,7,8,10,11,4,13,14,6,0,15,9,5,2,12,1,3,10,0,2,3,5,6,4,9,15,13,7,12,1,11,8,14,15,1,12,7,6,14,13,8,5,0,4,2,10,3,9,11,14,5,8,10,0,12,11,9,13,6,3,2,4,7,1,15,13,7,3,8,0,2,11,12,1,14,15,4,9,5,10,6,3,6,11,15,14,0,10,7,2,12,4,9,13,8,5,1,5,11,14,9,2,6,15,8,0,13,1,12,7,4,10,3,2,12,7,14,5,11,4,1,8,6,10,9,15,0,13,3,13,11,15,7,2,1,14,12,5,10,0,6,9,8,3,4,11,12,0,6,14,13,4,9,1,5,15,3,7,8,10,2,14,0,4,5,12,3,8,9,15,7,6,2,10,13,11,1,7,3,14,5,2,9,15,10,12,8,11,13,6,1,4,0,2,3,1,13,0,15,7,4,11,5,10,14,9,8,12,6,3,1,15,14,11,7,2,0,9,4,8,10,13,12,6,5,1,3,12,10,15,8,5,13,6,4,9,14,11,0,2,7,4,0,9,10,12,11,8,2,3,13,14,6,7,5,15,1,8,13,10,11,12,5,6,9,2,7,14,15,0,1,3,4,3,1,10,6,5,14,0,11,7,8,15,12,9,4,2,13,2,10,4,6,0,15,8,3,13,7,11,1,5,14,12,9,3,11,8,2,14,0,1,4,5,13,10,9,6,15,12,7,7,3,8,2,15,0,12,6,4,10,14,9,5,13,11,1,0,11,5,9,2,1,12,4,13,8,15,14,6,7,10,3,8,9,6,2,1,12,15,7,11,5,14,0,10,13,4,3,5,0,15,14,1,11,12,4,3,2,13,7,6,9,8,10,4,7,15,13,5,0,6,12,9,11,2,10,3,14,1,8,7,1,9,3,11,0,12,5,6,8,13,2,4,15,14,10,0,7,6,5,12,15,10,1,9,3,2,13,11,4,14,8,5,2,8,0,13,3,6,1,14,15,12,9,7,11,4,10,2,13,1,4,5,10,12,8,6,15,9,0,7,11,14,3,12,1,10,4,15,7,0,2,3,13,5,6,14,8,11,9,4,6,12,8,13,0,10,7,9,2,14,3,1,11,15,5,9,3,6,0,4,15,11,12,1,10,8,13,14,5,7,2,12,10,6,5,14,2,0,11,8,9,1,4,13,15,3,7,7,12,10,3,15,1,0,4,5,14,2,13,11,9,8,6,6,12,15,1,0,5,11,13,4,2,9,3,10,7,14,8,7,6,1,11,13,0,10,3,12,2,5,4,15,9,14,8,11,3,0,15,1,8,9,4,6,12,2,14,5,7,10,13,6,10,7,2,5,14,3,15,4,1,13,11,0,9,12,8,14,10,11,13,2,8,12,1,7,4,6,9,3,15,0,5,12,2,5,1,6,7,3,13,8,9,10,15,0,11,14,4,2,14,10,7,0,4,12,3,5,1,11,8,13,6,9,15,0,5,3,12,4,13,15,6,9,1,14,10,8,2,11,7,8,4,12,7,9,1,13,5,0,2,14,11,6,3,10,15,3,12,13,15,10,9,4,1,11,6,0,7,5,8,14,2,15,10,11,6,5,14,4,2,8,3,13,0,7,9,12,1,8,13,0,1,15,5,9,11,2,4,3,10,6,7,12,14,4,14,1,13,3,11,0,8,2,15,10,5,12,7,6,9,14,12,15,2,3,13,9,8,0,11,4,10,6,7,1,5,2,14,4,7,15,12,5,10,11,8,13,9,6,0,3,1,2,9,11,4,10,15,14,1,8,3,0,6,13,5,7,12","8,7,5,4,6,6,4,7,8,5,4,7,5,6,8,8,7,5,6,4,8,7,4,6,5,7,6,8,4,5,7,4,8,5,6,7,4,8,6,5,5,6,8,4,7,6,4,7,5,8,8,5,6,7,4,8,6,5,7,4","0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1"
