,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.575,0.015,0.547,0.604,0.0,0.0,7242.0,5290.0,1.0,True
post_test_theta,0.621,0.015,0.594,0.649,0.0,0.0,6787.0,5622.0,1.0,True
difference_of_means,0.045,0.021,0.005,0.085,0.0,0.0,7109.0,5270.0,1.0,True
