,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
mu_pre_test,2.5,0.007,2.487,2.513,0.0,0.0,39251.0,23270.0,1.0,True
mu_post_test,2.499,0.007,2.486,2.512,0.0,0.0,38244.0,23278.0,1.0,True
sigma,0.032,0.004,0.025,0.039,0.0,0.0,33613.0,20659.0,1.0,True
difference_of_means,-0.001,0.01,-0.019,0.019,0.0,0.0,38301.0,23075.0,1.0,True
