,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_pre_test,2.504,0.006,2.492,2.516,0.0,0.0,38176.0,22223.0,1.0
mu_post_test,2.497,0.007,2.485,2.51,0.0,0.0,36060.0,22882.0,1.0
sigma,0.029,0.003,0.023,0.036,0.0,0.0,32623.0,20247.0,1.0
difference_of_means,-0.007,0.009,-0.024,0.011,0.0,0.0,37409.0,22836.0,1.0
