,participant_id,HR-accuracy-gonogo,FAR-accuracy-gonogo,HR-rt-gonogo,1-rt-moteval,1-accuracy-moteval,4-rt-moteval,4-accuracy-moteval,8-rt-moteval,8-accuracy-moteval,parity-switch-accuracy-taskswitch,parity-switch-rt-taskswitch,parity-unswitch-accuracy-taskswitch,parity-unswitch-rt-taskswitch,relative-switch-accuracy-taskswitch,relative-switch-rt-taskswitch,relative-unswitch-accuracy-taskswitch,relative-unswitch-rt-taskswitch,accuracy_near-loadblindness,accuracy_far-loadblindness,out_mat_hit_miss_sum-2-memorability,out_mat_fa_cr_sum-2-memorability,out_mat_rt_cond-2-memorability,out_mat_hit_miss_sum-3-memorability,out_mat_fa_cr_sum-3-memorability,out_mat_rt_cond-3-memorability,out_mat_hit_miss_sum-4-memorability,out_mat_fa_cr_sum-4-memorability,out_mat_rt_cond-4-memorability,out_mat_hit_miss_sum-5-memorability,out_mat_fa_cr_sum-5-memorability,out_mat_rt_cond-5-memorability,out_mat_hit_miss_sum-100-memorability,out_mat_fa_cr_sum-100-memorability,out_mat_rt_cond-100-memorability,5-accuracy-enumeration,6-accuracy-enumeration,7-accuracy-enumeration,8-accuracy-enumeration,9-accuracy-enumeration
0,15,1.0,0.0,425.3888888888889,4242.466666666667,0.94,4242.0,0.6533333333333333,4454.299999999999,0.4933333333333334,1.0,342.3666666666667,0.9576719576719576,346.5673202614379,0.9182608695652176,300.8228758169935,0.975,281.318954248366,0.675,1.35,23.0,28.0,27.0,15.0,11.0,7.0,3.0,0.0,804.3913043478261,760.2592592592592,800.5217391304348,836.8666666666667,89.83454178632618,91.66953231585104,104.621416697338,0.85,0.725,0.55,0.225,0.025
1,51,0.9722222222222222,0.0277777777777777,511.8366013071896,4821.6,0.9866666666666668,5317.0,0.8066666666666668,5629.733333333334,0.58,0.9791666666666669,318.13372549019607,0.9814814814814814,356.1035294117647,0.9109848484848484,359.18599033816423,0.9555335968379448,340.4942028985507,0.825,1.5,27.0,32.0,30.0,13.0,1.0,1.0,2.0,0.0,847.1851851851852,839.1333333333333,838.2666666666667,872.3846153846154,69.08280244568832,77.21991683209427,56.15569625801306,1.0,0.9,0.625,0.425,0.2
2,48,0.9444444444444444,0.0555555555555555,555.0590277777778,4630.7,0.7666666666666667,4573.7,0.5800000000000001,4769.366666666667,0.4599999999999999,1.0,537.8904545454545,1.0,591.2231818181817,0.9791666666666669,456.502508361204,0.9821428571428572,473.6810200668896,0.3,1.15,27.0,27.0,27.0,19.0,7.0,7.0,5.0,0.0,852.4444444444445,901.1851851851852,893.6896551724138,898.1578947368421,82.92484243250281,72.38223489689587,86.67700782842006,0.3,0.3249999999999999,0.425,0.425,0.375
3,68,0.9722222222222222,0.0277777777777777,471.9183006535948,3779.4,0.96,4132.4,0.6466666666666667,4512.9,0.5733333333333333,1.0,367.84371980676326,1.0,345.4471014492753,0.9191666666666668,336.5807843137256,0.962962962962963,374.4131372549019,0.95,1.9,32.0,31.0,32.0,27.0,1.0,2.0,1.0,0.0,768.40625,797.375,800.40625,841.074074074074,81.99554567734835,73.1576850030125,55.99322468779147,0.875,0.825,0.6,0.45,0.25
4,70,1.0,0.0,498.8611111111111,4003.8,0.9333333333333332,3953.1,0.6866666666666666,3858.4,0.6133333333333333,0.9599358974358976,519.6383773021404,1.0,405.2727725236436,0.9591666666666668,379.4308300395257,1.0,378.5197628458498,0.95,1.15,26.0,29.0,30.0,15.0,2.0,4.0,5.0,0.0,828.5769230769231,834.2333333333333,812.0666666666667,883.3333333333334,99.55608962873184,89.02197606334192,88.13131616451038,0.7250000000000001,0.775,0.675,0.3,0.125
5,82,0.9444444444444444,0.0555555555555555,621.1840277777778,7642.166666666666,0.8266666666666668,7469.833333333334,0.6066666666666666,7612.633333333333,0.5066666666666666,1.0,683.1081730769231,0.960648148148148,603.6474358974359,0.9791666666666669,774.3047480620155,0.9782608695652174,697.9234496124031,0.225,0.4,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1400.0,905.0,994.1666666666666,877.6666666666666,7.542472332656507,20.31419864692345,15.98349843501798,0.45,0.5,0.3,0.4,0.425
6,85,1.0,0.0,465.9166666666666,5214.133333333333,0.9866666666666668,5201.166666666666,0.7866666666666668,4918.233333333334,0.5933333333333333,0.9591666666666668,334.8836477987421,0.9636243386243386,347.21587125416204,1.0,312.8480620155039,0.9473684210526316,332.0793281653747,0.825,1.7,21.0,21.0,26.0,13.0,2.0,4.0,7.0,0.0,866.4761904761905,870.1923076923077,859.2,910.3846153846154,85.24676731623599,84.57541888332531,75.05784436019995,0.975,0.8500000000000001,0.825,0.75,0.525
7,84,1.0,0.0,571.0277777777778,5327.866666666667,0.6800000000000002,5697.533333333333,0.5733333333333333,5757.266666666666,0.5599999999999998,0.9565217391304348,316.6150121065375,1.0,553.0820217917676,0.9375,554.6945945945946,1.0,332.79695945945946,0.8,1.4500000000000002,29.0,31.0,32.0,14.0,4.0,2.0,3.0,2.0,879.7931034482758,863.5625,855.0689655172414,866.0714285714286,75.41128299198601,79.51609015633251,77.38614820116456,0.65,0.575,0.3,0.1999999999999999,0.05
8,87,0.9722222222222222,0.0277777777777777,469.609477124183,4169.0,0.9933333333333334,3884.8,0.7600000000000001,3738.933333333333,0.5733333333333334,0.9391666666666668,368.7211538461538,0.962962962962963,374.74038461538464,0.9782608695652174,449.9886363636364,0.9523809523809524,387.9772727272728,0.875,1.4,25.0,26.0,29.0,19.0,2.0,1.0,2.0,0.0,801.24,832.2758620689655,825.6551724137931,803.3157894736842,95.4081314064034,109.61276560181084,92.61536174883098,0.95,0.925,0.875,0.575,0.4
9,90,0.9722222222222222,0.0277777777777777,614.0669934640523,3740.2666666666655,0.9466666666666668,3748.2666666666655,0.8466666666666667,3596.166666666667,0.76,0.98,396.2612433862434,0.917741935483871,483.71064814814815,0.8945454545454545,506.2017857142857,1.0,337.7184523809524,0.9,1.7,20.0,22.0,21.0,8.0,3.0,6.0,7.0,0.0,978.1,974.095238095238,962.7272727272727,982.75,44.6493223181615,49.55218967042513,53.80113366343756,0.9,0.825,0.75,0.5,0.3
