,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.821,0.03,0.765,0.877,0.0,0.0,6477.0,5023.0,1.0,True
post_test_theta,0.802,0.031,0.744,0.858,0.0,0.0,6762.0,5587.0,1.0,True
difference_of_means,-0.018,0.043,-0.097,0.062,0.001,0.0,6687.0,5341.0,1.0,True
