,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.735,0.035,0.669,0.799,0.0,0.0,6581.0,5132.0,1.0,True
post_test_theta,0.79,0.032,0.73,0.849,0.0,0.0,7285.0,6055.0,1.0,True
difference_of_means,0.055,0.047,-0.03,0.147,0.001,0.0,6996.0,5411.0,1.0,True
