,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_pre_test,2.51,0.007,2.497,2.523,0.0,0.0,40065.0,22528.0,1.0
mu_post_test,2.493,0.007,2.48,2.506,0.0,0.0,37925.0,22698.0,1.0
sigma,0.032,0.004,0.025,0.038,0.0,0.0,32581.0,20313.0,1.0
difference_of_means,-0.017,0.01,-0.036,0.001,0.0,0.0,38681.0,23788.0,1.0
