,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
mu_pre_test,2.504,0.007,2.492,2.516,0.0,0.0,37174.0,21992.0,1.0,True
mu_post_test,2.497,0.007,2.485,2.51,0.0,0.0,35523.0,22165.0,1.0,True
sigma,0.029,0.003,0.023,0.036,0.0,0.0,32013.0,20007.0,1.0,True
difference_of_means,-0.007,0.009,-0.024,0.01,0.0,0.0,36052.0,23019.0,1.0,True
