,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_pre_test,2.196,0.005,2.187,2.205,0.0,0.0,38902.0,23182.0,1.0
mu_post_test,2.194,0.005,2.185,2.203,0.0,0.0,39611.0,23402.0,1.0
sigma,0.023,0.003,0.018,0.027,0.0,0.0,31974.0,19670.0,1.0
difference_of_means,-0.002,0.007,-0.015,0.011,0.0,0.0,38160.0,23707.0,1.0
