,Intrinsic motivation,Identified regulation,External regulation,Amotivation
1,0.4375,0.25,-0.6875,-0.8125
3,-0.1875,0.3125,1.375,0.875
5,-0.75,-0.6875,-1.1875,-0.3125
7,0.5,0.1875,0.3125,0.0
9,-1.25,-0.875,-1.1875,0.5625
11,-1.1875,-0.4375,0.625,1.1875
13,0.125,-0.375,0.0,-1.0625
15,-0.4375,-0.3125,1.0,0.9375
17,-0.25,-0.8125,0.4375,0.375
19,0.125,1.25,1.1875,-0.5
21,-0.5,-0.1875,0.0625,0.0
