,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.969,0.008,0.954,0.982,0.0,0.0,7686.0,5747.0,1.0,True
post_test_theta,0.95,0.01,0.933,0.968,0.0,0.0,7247.0,5220.0,1.0,True
difference_of_means,-0.019,0.012,-0.041,0.004,0.0,0.0,7397.0,5740.0,1.0,True
