,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,ROPE_in_HDI
pre_test_theta,0.962,0.008,0.947,0.977,0.0,0.0,7183.0,4866.0,1.0,True
post_test_theta,0.942,0.01,0.923,0.961,0.0,0.0,6652.0,5889.0,1.0,True
difference_of_means,-0.021,0.013,-0.046,0.004,0.0,0.0,6894.0,5984.0,1.0,True
