,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.569,0.035,0.502,0.632,0.0,0.0,13344.0,11945.0,1.0
post_test_posterior,0.619,0.034,0.554,0.682,0.0,0.0,14244.0,11790.0,1.0
difference_of_means,0.05,0.049,-0.045,0.14,0.0,0.0,14447.0,11121.0,1.0
