,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
pre_test_posterior,0.831,0.028,0.779,0.883,0.0,0.0,13933.0,11294.0,1.0
post_test_posterior,0.826,0.028,0.774,0.879,0.0,0.0,13685.0,10946.0,1.0
difference_of_means,-0.005,0.04,-0.079,0.071,0.0,0.0,13662.0,11347.0,1.0
