,participant_id,task_idx,task_status,results_responses_pos,results_responses_fix,results_rt,results_targetvalue_stim,results_targetvalue_fixation,results_target_distance,results_rt_fixation
23,96,0,POST_TEST,"1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1","1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0","763,616,564,518,694,621,861,1462,464,534,767,937,1237,630,987,551,798,589,591,523,576,593,787,469,945,1109,573,771,607,591,679,627,414,1066,414,575,551,503,629,534","1,1,3,2,0,1,1,2,0,1,2,0,0,0,1,2,2,3,1,0,1,2,0,0,0,2,3,2,0,3,1,3,2,3,2,3,2,3,1,1","1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0","232,116,232,116,116,232,232,116,232,116,232,116,232,116,232,116,232,116,116,232,116,232,232,116,232,116,232,116,232,116,232,116,116,232,232,116,232,116,232,116","1149,1064,735,654,957,1221,889,1696,1344,656,1016,1003,901,914,1080,1373,728,1048,960,561,947,926,653,570,713,5467,886,639,655,957,677,751,675,650,693,843,1004,948,710,858"
24,97,1,PRE_TEST,"1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0","1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1","833,1357,796,985,1491,903,744,875,753,1443,761,1123,681,897,804,913,1055,805,716,887,959,1234,940,849,867,712,738,736,894,772,934,817,808,692,898,2623,533,647,989,1238","1,3,3,1,2,1,3,0,0,2,1,1,2,0,3,2,1,0,3,1,1,1,1,2,0,0,2,0,0,0,0,0,0,1,2,2,2,0,2,1","1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1","95,189,95,189,189,95,95,189,95,189,95,189,95,189,95,189,189,95,95,189,189,95,95,189,189,95,189,95,189,95,189,95,95,189,189,95,95,189,95,189","1091,1142,699,1411,930,1051,850,879,879,1001,652,937,624,449,993,1142,759,886,658,690,1003,1106,897,1215,1056,805,1143,1081,995,900,875,1012,1045,697,978,1024,1241,949,1288,743"
25,97,1,POST_TEST,"0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1","0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0","736,1103,850,705,767,802,960,627,652,924,790,962,726,644,657,772,727,1926,774,789,1221,739,695,816,640,706,683,722,672,719,735,813,750,854,822,1950,746,1170,774,574","0,1,0,1,0,1,2,0,3,1,2,0,3,0,1,0,1,2,2,3,2,1,2,2,3,1,2,1,3,1,3,2,1,0,0,3,1,2,2,1","0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0","95,189,95,189,189,95,189,95,95,189,95,189,189,95,95,189,95,189,189,95,95,189,189,95,95,189,189,95,189,95,189,95,189,95,95,189,95,189,189,95","1194,966,1913,1193,1307,1966,1300,928,697,854,1162,803,741,819,722,752,485,780,579,990,833,788,1065,959,1226,674,522,1066,624,1995,528,568,718,562,1004,1103,733,787,888,644"
26,116,5,PRE_TEST,"1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0","412,606,911,505,496,706,457,464,475,553,614,551,520,381,488,466,566,577,513,364,588,456,543,536,449,925,533,571,370,520,566,700,458,458,555,746,381,382,498,467","3,0,2,1,1,1,1,1,2,0,0,1,1,0,0,1,1,1,0,0,1,3,0,3,0,3,1,0,3,0,0,3,1,1,2,1,3,3,0,3","0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0","130,260,260,130,130,260,130,260,260,130,260,130,260,130,130,260,260,130,130,260,260,130,130,260,130,260,260,130,260,130,260,130,130,260,130,260,260,130,130,260","1139,590,977,523,823,590,722,760,560,490,878,530,451,563,755,546,488,663,828,763,519,972,580,689,503,464,503,520,538,512,745,538,438,494,586,591,507,755,470,410"
27,116,5,POST_TEST,"0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1","1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0","599,367,595,577,373,493,372,531,587,419,480,370,629,526,473,418,504,599,477,375,743,536,381,492,440,496,552,350,496,472,430,498,423,380,460,498,507,458,420,503","2,0,1,1,2,0,3,2,0,3,3,1,0,2,0,3,3,3,0,3,3,3,3,1,2,2,2,2,0,1,2,0,0,0,1,3,1,0,2,3","1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0","260,130,130,260,260,130,130,260,260,130,260,130,130,260,260,130,130,260,260,130,260,130,130,260,260,130,260,130,260,130,260,130,130,260,130,260,260,130,260,130","526,576,591,561,531,442,458,505,471,352,410,452,381,519,518,429,507,906,871,514,422,381,678,676,758,430,809,666,639,541,495,427,918,946,331,536,568,1010,662,476"
28,77,1,PRE_TEST,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1","0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1","852,1557,746,920,564,662,694,754,722,542,400,440,647,539,666,865,576,432,552,700,474,616,609,696,593,686,924,492,516,473,552,430,475,513,689,565,405,478,892,479","0,0,3,0,2,0,0,3,1,0,2,3,1,2,0,1,1,0,2,0,3,0,1,1,3,0,3,1,2,2,3,3,2,1,2,2,3,0,0,1","0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1","191,95,191,95,95,191,95,191,95,191,191,95,95,191,95,191,191,95,191,95,95,191,191,95,191,95,191,95,95,191,95,191,191,95,191,95,95,191,191,95","2312,885,824,710,696,629,817,589,921,997,764,932,813,932,895,725,1255,927,619,824,723,711,590,1012,762,544,1094,538,858,687,589,1446,480,693,412,813,571,833,720,613"
29,77,1,POST_TEST,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1","1863,1366,532,730,617,419,483,573,472,4048,513,497,448,595,750,347,350,37629,7628,634,640,797,1619,915,714,767,769,778,790,736,1362,747,984,888,775,4756,733,909,1260,821","2,1,3,0,0,0,0,0,3,0,3,3,2,1,1,3,2,2,1,0,3,3,1,0,0,1,1,0,1,2,1,2,1,0,1,0,1,2,1,3","1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1","126,63,63,126,126,63,63,126,63,126,126,63,63,126,126,63,63,126,63,126,63,126,126,63,63,126,126,63,63,126,63,126,126,63,63,126,126,63,63,126","888,659,1051,726,890,606,927,653,493,703,861,1226,1009,987,929,1048,568,855,1298,847,805,610,794,658,899,682,893,1264,980,781,983,843,972,954,694,1265,744,1031,809,784"
30,140,5,PRE_TEST,"1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1","0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1","616,582,549,624,485,768,588,632,505,608,533,601,449,672,829,622,637,1360,445,566,446,426,443,443,441,440,689,540,429,564,454,378,412,499,813,522,489,529,475,744","2,2,0,0,2,3,1,1,2,0,2,0,3,0,1,1,1,2,0,0,0,2,3,1,1,2,0,2,2,0,3,1,0,0,3,0,0,3,1,2","0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1","114,227,227,114,227,114,114,227,227,114,114,227,227,114,114,227,114,227,114,227,114,227,227,114,227,114,227,114,227,114,114,227,114,227,114,227,114,227,227,114","3801,7368,837,503,744,447,955,4768,648,525,686,568,362,604,516,658,465,767,1565,414,442,446,486,342,278,379,564,561,598,798,546,698,701,444,396,472,514,883,536,1613"
31,140,5,POST_TEST,"1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0","1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1","4355,691,631,757,2651,725,617,615,1152,551,439,488,561,537,497,398,484,387,492,485,474,695,476,638,532,655,941,553,500,518,441,464,437,527,2383,686,1271,505,405,872","2,2,2,2,2,2,3,3,1,2,1,0,1,3,1,2,2,0,0,2,1,3,2,3,0,2,0,3,3,3,0,3,2,0,0,2,3,0,3,2","1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1","114,227,227,114,114,227,227,114,227,114,114,227,227,114,114,227,114,227,227,114,227,114,114,227,227,114,227,114,114,227,114,227,114,227,227,114,114,227,114,227","5684,681,599,1952,919,8445,4268,985,2762,509,652,650,861,707,545,911,465,1645,355,808,536,512,582,728,486,636,613,685,452,541,427,522,459,730,986,470,386,522,357,442"
32,155,2,PRE_TEST,"0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1","1199,1266,931,1032,1118,1796,1914,1882,1419,1563,967,982,948,900,900,983,900,897,915,2554,1116,2700,1233,1816,2183,1350,1136,1232,1268,920,1267,1116,1617,1152,966,915,857,1003,820,934","1,0,3,2,3,1,1,3,0,1,1,3,2,3,2,3,2,0,3,1,2,1,1,1,0,1,2,3,2,2,3,0,3,2,1,3,2,1,3,2","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1","234,117,117,234,117,234,117,234,117,234,117,234,117,234,117,234,117,234,117,234,234,117,234,117,117,234,234,117,234,117,117,234,234,117,117,234,117,234,234,117","2738,1885,1905,1390,2138,2855,2541,1655,1755,1255,1052,1185,2074,1034,1137,1134,1021,1269,1285,2001,1453,1289,2368,13106,11872,1989,2786,821,2385,1202,3288,2289,2136,1468,1168,1321,1037,1405,1119,1019"
